"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Indigenous Status","Victim Reports"
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Aboriginal and/or Torres Strait Islander",288
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Non-Indigenous",17520
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Total People",19184
2026,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Aboriginal and/or Torres Strait Islander",297
2026,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Non-Indigenous",21223
2026,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Total People",23167
2026,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Aboriginal and/or Torres Strait Islander",596
2026,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Non-Indigenous",59774
2026,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Total People",64822
2026,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Aboriginal and/or Torres Strait Islander",89
2026,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Non-Indigenous",6325
2026,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Total People",6930
2026,"March","B Property and deception offences","B40 Theft","Other theft offences","Aboriginal and/or Torres Strait Islander",488
2026,"March","B Property and deception offences","B40 Theft","Other theft offences","Non-Indigenous",27085
2026,"March","B Property and deception offences","B40 Theft","Other theft offences","Total People",29496
2026,"March","B Property and deception offences","B50 Deception","B50 Deception","Aboriginal and/or Torres Strait Islander",119
2026,"March","B Property and deception offences","B50 Deception","B50 Deception","Non-Indigenous",9869
2026,"March","B Property and deception offences","B50 Deception","B50 Deception","Total People",11321
2026,"March","C Other offences","C Other offences","C Other offences","Aboriginal and/or Torres Strait Islander",2
2026,"March","C Other offences","C Other offences","C Other offences","Non-Indigenous",121
2026,"March","C Other offences","C Other offences","C Other offences","Total People",138
2025,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Aboriginal and/or Torres Strait Islander",8
2025,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Non-Indigenous",180
2025,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Total People",221
2025,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Aboriginal and/or Torres Strait Islander",1096
2025,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Non-Indigenous",15099
2025,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Total People",17183
2025,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Aboriginal and/or Torres Strait Islander",29
2025,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Non-Indigenous",3008
2025,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Total People",3317
2025,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Aboriginal and/or Torres Strait Islander",1421
2025,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Non-Indigenous",25975
2025,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Total People",29967
2025,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Aboriginal and/or Torres Strait Islander",234
2025,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Non-Indigenous",3697
2025,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Total People",4352
2025,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Aboriginal and/or Torres Strait Islander",191
2025,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Non-Indigenous",3648
2025,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Total People",4698
2025,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Aboriginal and/or Torres Strait Islander",15
2025,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Non-Indigenous",168
2025,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Total People",203
2025,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children","Aboriginal and/or Torres Strait Islander",35
2025,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children","Non-Indigenous",387
2025,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children","Total People",528
2025,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences","Aboriginal and/or Torres Strait Islander",33
2025,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences","Non-Indigenous",916
2025,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences","Total People",1087
2025,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences","Aboriginal and/or Torres Strait Islander",26
2025,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences","Non-Indigenous",501
2025,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences","Total People",570
2025,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery","Aboriginal and/or Torres Strait Islander",79
2025,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery","Non-Indigenous",2535
2025,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery","Total People",2950
2025,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery","Aboriginal and/or Torres Strait Islander",6
2025,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery","Non-Indigenous",306
2025,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery","Total People",378
2025,"March","A Crimes against the person","A60 Blackmail and extortion","A60 Blackmail and extortion","Aboriginal and/or Torres Strait Islander",5
2025,"March","A Crimes against the person","A60 Blackmail and extortion","A60 Blackmail and extortion","Non-Indigenous",294
2025,"March","A Crimes against the person","A60 Blackmail and extortion","A60 Blackmail and extortion","Total People",343
2025,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance","Aboriginal and/or Torres Strait Islander",77
2025,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance","Non-Indigenous",2274
2025,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance","Total People",2533
2025,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour","Aboriginal and/or Torres Strait Islander",286
2025,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour","Non-Indigenous",5216
2025,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour","Total People",5809
2025,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people","Aboriginal and/or Torres Strait Islander",111
2025,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people","Non-Indigenous",3085
2025,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people","Total People",3428
2025,"March","B Property and deception offences","B10 Arson","B10 Arson","Aboriginal and/or Torres Strait Islander",36
2025,"March","B Property and deception offences","B10 Arson","B10 Arson","Non-Indigenous",1430
2025,"March","B Property and deception offences","B10 Arson","B10 Arson","Total People",1613
2025,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage","Aboriginal and/or Torres Strait Islander",873
2025,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage","Non-Indigenous",23942
2025,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage","Total People",26914
2025,"March","B Property and deception offences","B20 Property damage","B22 Graffiti & B29 Other property damage offences","Aboriginal and/or Torres Strait Islander",12
2025,"March","B Property and deception offences","B20 Property damage","B22 Graffiti & B29 Other property damage offences","Non-Indigenous",1255
2025,"March","B Property and deception offences","B20 Property damage","B22 Graffiti & B29 Other property damage offences","Total People",1367
2025,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary","Aboriginal and/or Torres Strait Islander",106
2025,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary","Non-Indigenous",6637
