"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Indigenous Status","Victim Reports"
2023,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences","Total People",481
2023,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery","Aboriginal and/or Torres Strait Islander",55
2023,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery","Non-Indigenous",1846
2023,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery","Total People",2127
2023,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery","Aboriginal and/or Torres Strait Islander",7
2023,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery","Non-Indigenous",257
2023,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery","Total People",307
2023,"March","A Crimes against the person","A60 Blackmail and extortion","A60 Blackmail and extortion","Aboriginal and/or Torres Strait Islander",6
2023,"March","A Crimes against the person","A60 Blackmail and extortion","A60 Blackmail and extortion","Non-Indigenous",432
2023,"March","A Crimes against the person","A60 Blackmail and extortion","A60 Blackmail and extortion","Total People",543
2023,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance","Aboriginal and/or Torres Strait Islander",50
2023,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance","Non-Indigenous",2069
2023,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance","Total People",2248
2023,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour","Aboriginal and/or Torres Strait Islander",239
2023,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour","Non-Indigenous",4764
2023,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour","Total People",5237
2023,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people","Aboriginal and/or Torres Strait Islander",85
2023,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people","Non-Indigenous",3130
2023,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people","Total People",3421
2023,"March","B Property and deception offences","B10 Arson","B10 Arson","Aboriginal and/or Torres Strait Islander",31
2023,"March","B Property and deception offences","B10 Arson","B10 Arson","Non-Indigenous",905
2023,"March","B Property and deception offences","B10 Arson","B10 Arson","Total People",1022
2023,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage","Aboriginal and/or Torres Strait Islander",639
2023,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage","Non-Indigenous",19441
2023,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage","Total People",21613
2023,"March","B Property and deception offences","B20 Property damage","B22 Graffiti & B29 Other property damage offences","Aboriginal and/or Torres Strait Islander",13
2023,"March","B Property and deception offences","B20 Property damage","B22 Graffiti & B29 Other property damage offences","Non-Indigenous",1207
2023,"March","B Property and deception offences","B20 Property damage","B22 Graffiti & B29 Other property damage offences","Total People",1317
2023,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary","Aboriginal and/or Torres Strait Islander",104
2023,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary","Non-Indigenous",4248
2023,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary","Total People",5039
2023,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Aboriginal and/or Torres Strait Islander",272
2023,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Non-Indigenous",15806
2023,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Total People",17543
2023,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Aboriginal and/or Torres Strait Islander",220
2023,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Non-Indigenous",11073
2023,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Total People",12151
2023,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Aboriginal and/or Torres Strait Islander",453
2023,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Non-Indigenous",36755
2023,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Total People",40448
2023,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Aboriginal and/or Torres Strait Islander",75
2023,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Non-Indigenous",5987
2023,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Total People",6550
2023,"March","B Property and deception offences","B40 Theft","Other theft offences","Aboriginal and/or Torres Strait Islander",372
2023,"March","B Property and deception offences","B40 Theft","Other theft offences","Non-Indigenous",21858
2023,"March","B Property and deception offences","B40 Theft","Other theft offences","Total People",24018
2023,"March","B Property and deception offences","B50 Deception","B50 Deception","Aboriginal and/or Torres Strait Islander",82
2023,"March","B Property and deception offences","B50 Deception","B50 Deception","Non-Indigenous",8023
2023,"March","B Property and deception offences","B50 Deception","B50 Deception","Total People",9888
2023,"March","C Other offences","C Other offences","C Other offences","Aboriginal and/or Torres Strait Islander",2
2023,"March","C Other offences","C Other offences","C Other offences","Non-Indigenous",86
2023,"March","C Other offences","C Other offences","C Other offences","Total People",95
2022,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Aboriginal and/or Torres Strait Islander",5
2022,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Non-Indigenous",140
2022,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Total People",177
2022,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Aboriginal and/or Torres Strait Islander",812
2022,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Non-Indigenous",12513
2022,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Total People",14116
2022,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Aboriginal and/or Torres Strait Islander",19
2022,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Non-Indigenous",2755
2022,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Total People",3008
2022,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Aboriginal and/or Torres Strait Islander",1113
2022,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Non-Indigenous",22896
2022,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Total People",25839
2022,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Aboriginal and/or Torres Strait Islander",170
2022,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Non-Indigenous",3100
2022,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Total People",3640
2022,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Aboriginal and/or Torres Strait Islander",178
2022,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Non-Indigenous",3320
2022,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Total People",4265
2022,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Aboriginal and/or Torres Strait Islander",19
2022,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Non-Indigenous",174
2022,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Total People",218
2022,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children","Aboriginal and/or Torres Strait Islander",35
2022,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children","Non-Indigenous",333
2022,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children","Total People",445
2022,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences","Aboriginal and/or Torres Strait Islander",10
2022,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences","Non-Indigenous",585
2022,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences","Total People",656
2022,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences","Aboriginal and/or Torres Strait Islander",21
2022,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences","Non-Indigenous",448
2022,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences","Total People",500
2022,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery","Aboriginal and/or Torres Strait Islander",50
2022,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery","Non-Indigenous",1694
2022,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery","Total People",1956
2022,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery","Aboriginal and/or Torres Strait Islander",2
2022,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery","Non-Indigenous",237
2022,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery","Total People",279
2022,"March","A Crimes against the person","A60 Blackmail and extortion","A60 Blackmail and extortion","Aboriginal and/or Torres Strait Islander",2
2022,"March","A Crimes against the person","A60 Blackmail and extortion","A60 Blackmail and extortion","Non-Indigenous",177
2022,"March","A Crimes against the person","A60 Blackmail and extortion","A60 Blackmail and extortion","Total People",208
2022,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance","Aboriginal and/or Torres Strait Islander",61
2022,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance","Non-Indigenous",2073
2022,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance","Total People",2271
2022,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour","Aboriginal and/or Torres Strait Islander",235
2022,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour","Non-Indigenous",4738
2022,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour","Total People",5252
2022,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people","Aboriginal and/or Torres Strait Islander",73
2022,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people","Non-Indigenous",2961
2022,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people","Total People",3233
2022,"March","B Property and deception offences","B10 Arson","B10 Arson","Aboriginal and/or Torres Strait Islander",25
2022,"March","B Property and deception offences","B10 Arson","B10 Arson","Non-Indigenous",929
2022,"March","B Property and deception offences","B10 Arson","B10 Arson","Total People",1019
2022,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage","Aboriginal and/or Torres Strait Islander",689
2022,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage","Non-Indigenous",18989
2022,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage","Total People",21132
2022,"March","B Property and deception offences","B20 Property damage","B22 Graffiti & B29 Other property damage offences","Aboriginal and/or Torres Strait Islander",15
2022,"March","B Property and deception offences","B20 Property damage","B22 Graffiti & B29 Other property damage offences","Non-Indigenous",1078
2022,"March","B Property and deception offences","B20 Property damage","B22 Graffiti & B29 Other property damage offences","Total People",1163
2022,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary","Aboriginal and/or Torres Strait Islander",87
2022,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary","Non-Indigenous",3286
2022,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary","Total People",3853
2022,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Aboriginal and/or Torres Strait Islander",274
2022,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Non-Indigenous",14321
2022,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Total People",15759
2022,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Aboriginal and/or Torres Strait Islander",205
2022,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Non-Indigenous",9750
2022,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Total People",10634
2022,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Aboriginal and/or Torres Strait Islander",380
2022,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Non-Indigenous",35752
2022,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Total People",38886
2022,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Aboriginal and/or Torres Strait Islander",85
2022,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Non-Indigenous",6180
2022,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Total People",6751
2022,"March","B Property and deception offences","B40 Theft","Other theft offences","Aboriginal and/or Torres Strait Islander",373
2022,"March","B Property and deception offences","B40 Theft","Other theft offences","Non-Indigenous",19612
2022,"March","B Property and deception offences","B40 Theft","Other theft offences","Total People",21419
2022,"March","B Property and deception offences","B50 Deception","B50 Deception","Aboriginal and/or Torres Strait Islander",77
2022,"March","B Property and deception offences","B50 Deception","B50 Deception","Non-Indigenous",6794
2022,"March","B Property and deception offences","B50 Deception","B50 Deception","Total People",8351
2022,"March","C Other offences","C Other offences","C Other offences","Aboriginal and/or Torres Strait Islander",2
2022,"March","C Other offences","C Other offences","C Other offences","Non-Indigenous",107
2022,"March","C Other offences","C Other offences","C Other offences","Total People",114
