"Year","Year ending","AFM Sex","AFM Age Group","AFM Indigenous Status","AFM Counter"
2023,"March","People","55-59 years","Non-Indigenous",4168
2023,"March","People","55-59 years","Total People",4506
2023,"March","People","60-64 years","Aboriginal and/or Torres Strait Islander",100
2023,"March","People","60-64 years","Non-Indigenous",2726
2023,"March","People","60-64 years","Total People",2939
2023,"March","People","65 years and over","Aboriginal and/or Torres Strait Islander",132
2023,"March","People","65 years and over","Non-Indigenous",5283
2023,"March","People","65 years and over","Total People",5745
2023,"March","People","Total","Aboriginal and/or Torres Strait Islander",5741
2023,"March","People","Total","Non-Indigenous",83996
2023,"March","People","Total","Total People",93088
2022,"March","Females","00-14 years","Aboriginal and/or Torres Strait Islander",202
2022,"March","Females","00-14 years","Non-Indigenous",1974
2022,"March","Females","00-14 years","Total People",2487
2022,"March","Females","15-17 years","Aboriginal and/or Torres Strait Islander",229
2022,"March","Females","15-17 years","Non-Indigenous",2009
2022,"March","Females","15-17 years","Total People",2395
2022,"March","Females","18-19 years","Aboriginal and/or Torres Strait Islander",217
2022,"March","Females","18-19 years","Non-Indigenous",1809
2022,"March","Females","18-19 years","Total People",2108
2022,"March","Females","20-24 years","Aboriginal and/or Torres Strait Islander",566
2022,"March","Females","20-24 years","Non-Indigenous",5583
2022,"March","Females","20-24 years","Total People",6395
2022,"March","Females","25-29 years","Aboriginal and/or Torres Strait Islander",638
2022,"March","Females","25-29 years","Non-Indigenous",7319
2022,"March","Females","25-29 years","Total People",8200
2022,"March","Females","30-34 years","Aboriginal and/or Torres Strait Islander",577
2022,"March","Females","30-34 years","Non-Indigenous",8594
2022,"March","Females","30-34 years","Total People",9385
2022,"March","Females","35-39 years","Aboriginal and/or Torres Strait Islander",442
2022,"March","Females","35-39 years","Non-Indigenous",8456
2022,"March","Females","35-39 years","Total People",9120
2022,"March","Females","40-44 years","Aboriginal and/or Torres Strait Islander",434
2022,"March","Females","40-44 years","Non-Indigenous",7098
2022,"March","Females","40-44 years","Total People",7710
2022,"March","Females","45-49 years","Aboriginal and/or Torres Strait Islander",309
2022,"March","Females","45-49 years","Non-Indigenous",5888
2022,"March","Females","45-49 years","Total People",6393
2022,"March","Females","50-54 years","Aboriginal and/or Torres Strait Islander",269
2022,"March","Females","50-54 years","Non-Indigenous",4483
2022,"March","Females","50-54 years","Total People",4931
2022,"March","Females","55-59 years","Aboriginal and/or Torres Strait Islander",142
2022,"March","Females","55-59 years","Non-Indigenous",2638
2022,"March","Females","55-59 years","Total People",2877
2022,"March","Females","60-64 years","Aboriginal and/or Torres Strait Islander",82
2022,"March","Females","60-64 years","Non-Indigenous",1692
2022,"March","Females","60-64 years","Total People",1860
2022,"March","Females","65 years and over","Aboriginal and/or Torres Strait Islander",90
2022,"March","Females","65 years and over","Non-Indigenous",3076
2022,"March","Females","65 years and over","Total People",3370
2022,"March","Females","Total","Aboriginal and/or Torres Strait Islander",4233
2022,"March","Females","Total","Non-Indigenous",61293
2022,"March","Females","Total","Total People",67982
2022,"March","Males","00-14 years","Aboriginal and/or Torres Strait Islander",126
2022,"March","Males","00-14 years","Non-Indigenous",1500
2022,"March","Males","00-14 years","Total People",1844
2022,"March","Males","15-17 years","Aboriginal and/or Torres Strait Islander",75
2022,"March","Males","15-17 years","Non-Indigenous",765
2022,"March","Males","15-17 years","Total People",898
2022,"March","Males","18-19 years","Aboriginal and/or Torres Strait Islander",55
2022,"March","Males","18-19 years","Non-Indigenous",588
2022,"March","Males","18-19 years","Total People",676
2022,"March","Males","20-24 years","Aboriginal and/or Torres Strait Islander",178
2022,"March","Males","20-24 years","Non-Indigenous",1648
2022,"March","Males","20-24 years","Total People",1888
2022,"March","Males","25-29 years","Aboriginal and/or Torres Strait Islander",165
2022,"March","Males","25-29 years","Non-Indigenous",1960
2022,"March","Males","25-29 years","Total People",2178
2022,"March","Males","30-34 years","Aboriginal and/or Torres Strait Islander",119
2022,"March","Males","30-34 years","Non-Indigenous",1956
2022,"March","Males","30-34 years","Total People",2108
2022,"March","Males","35-39 years","Aboriginal and/or Torres Strait Islander",126
2022,"March","Males","35-39 years","Non-Indigenous",2119
2022,"March","Males","35-39 years","Total People",2298
2022,"March","Males","40-44 years","Aboriginal and/or Torres Strait Islander",87
2022,"March","Males","40-44 years","Non-Indigenous",1972
2022,"March","Males","40-44 years","Total People",2117
2022,"March","Males","45-49 years","Aboriginal and/or Torres Strait Islander",96
2022,"March","Males","45-49 years","Non-Indigenous",2132
2022,"March","Males","45-49 years","Total People",2284
2022,"March","Males","50-54 years","Aboriginal and/or Torres Strait Islander",81
2022,"March","Males","50-54 years","Non-Indigenous",1813
2022,"March","Males","50-54 years","Total People",1940
2022,"March","Males","55-59 years","Aboriginal and/or Torres Strait Islander",51
2022,"March","Males","55-59 years","Non-Indigenous",1377
2022,"March","Males","55-59 years","Total People",1467
2022,"March","Males","60-64 years","Aboriginal and/or Torres Strait Islander",22
2022,"March","Males","60-64 years","Non-Indigenous",902
2022,"March","Males","60-64 years","Total People",961
2022,"March","Males","65 years and over","Aboriginal and/or Torres Strait Islander",16
2022,"March","Males","65 years and over","Non-Indigenous",1695
2022,"March","Males","65 years and over","Total People",1813
2022,"March","Males","Total","Aboriginal and/or Torres Strait Islander",1204
2022,"March","Males","Total","Non-Indigenous",20632
2022,"March","Males","Total","Total People",22705
2022,"March","People","00-14 years","Aboriginal and/or Torres Strait Islander",329
2022,"March","People","00-14 years","Non-Indigenous",3480
2022,"March","People","00-14 years","Total People",4338
2022,"March","People","15-17 years","Aboriginal and/or Torres Strait Islander",305
2022,"March","People","15-17 years","Non-Indigenous",2778
2022,"March","People","15-17 years","Total People",3298
2022,"March","People","18-19 years","Aboriginal and/or Torres Strait Islander",272
2022,"March","People","18-19 years","Non-Indigenous",2398
2022,"March","People","18-19 years","Total People",2785
2022,"March","People","20-24 years","Aboriginal and/or Torres Strait Islander",744
2022,"March","People","20-24 years","Non-Indigenous",7233
2022,"March","People","20-24 years","Total People",8288
2022,"March","People","25-29 years","Aboriginal and/or Torres Strait Islander",806
2022,"March","People","25-29 years","Non-Indigenous",9282
2022,"March","People","25-29 years","Total People",10384
2022,"March","People","30-34 years","Aboriginal and/or Torres Strait Islander",696
2022,"March","People","30-34 years","Non-Indigenous",10551
2022,"March","People","30-34 years","Total People",11495
2022,"March","People","35-39 years","Aboriginal and/or Torres Strait Islander",568
2022,"March","People","35-39 years","Non-Indigenous",10579
2022,"March","People","35-39 years","Total People",11423
2022,"March","People","40-44 years","Aboriginal and/or Torres Strait Islander",521
2022,"March","People","40-44 years","Non-Indigenous",9073
2022,"March","People","40-44 years","Total People",9832
2022,"March","People","45-49 years","Aboriginal and/or Torres Strait Islander",405
2022,"March","People","45-49 years","Non-Indigenous",8025
2022,"March","People","45-49 years","Total People",8683
2022,"March","People","50-54 years","Aboriginal and/or Torres Strait Islander",350
2022,"March","People","50-54 years","Non-Indigenous",6301
2022,"March","People","50-54 years","Total People",6876
2022,"March","People","55-59 years","Aboriginal and/or Torres Strait Islander",193
2022,"March","People","55-59 years","Non-Indigenous",4021
2022,"March","People","55-59 years","Total People",4351
2022,"March","People","60-64 years","Aboriginal and/or Torres Strait Islander",104
2022,"March","People","60-64 years","Non-Indigenous",2596
2022,"March","People","60-64 years","Total People",2824
2022,"March","People","65 years and over","Aboriginal and/or Torres Strait Islander",107
2022,"March","People","65 years and over","Non-Indigenous",4787
2022,"March","People","65 years and over","Total People",5200
2022,"March","People","Total","Aboriginal and/or Torres Strait Islander",5444
2022,"March","People","Total","Non-Indigenous",81996
2022,"March","People","Total","Total People",90783
