"Year","Year ending","AFM Sex","AFM Age Group","AFM Indigenous Status","AFM Counter"
2026,"March","People","25-29 years","Total People",10368
2026,"March","People","30-34 years","Aboriginal and/or Torres Strait Islander",852
2026,"March","People","30-34 years","Non-Indigenous",11517
2026,"March","People","30-34 years","Total People",12718
2026,"March","People","35-39 years","Aboriginal and/or Torres Strait Islander",799
2026,"March","People","35-39 years","Non-Indigenous",12277
2026,"March","People","35-39 years","Total People",13430
2026,"March","People","40-44 years","Aboriginal and/or Torres Strait Islander",581
2026,"March","People","40-44 years","Non-Indigenous",10962
2026,"March","People","40-44 years","Total People",11944
2026,"March","People","45-49 years","Aboriginal and/or Torres Strait Islander",492
2026,"March","People","45-49 years","Non-Indigenous",8566
2026,"March","People","45-49 years","Total People",9334
2026,"March","People","50-54 years","Aboriginal and/or Torres Strait Islander",412
2026,"March","People","50-54 years","Non-Indigenous",6885
2026,"March","People","50-54 years","Total People",7548
2026,"March","People","55-59 years","Aboriginal and/or Torres Strait Islander",276
2026,"March","People","55-59 years","Non-Indigenous",4679
2026,"March","People","55-59 years","Total People",5123
2026,"March","People","60-64 years","Aboriginal and/or Torres Strait Islander",192
2026,"March","People","60-64 years","Non-Indigenous",3229
2026,"March","People","60-64 years","Total People",3558
2026,"March","People","65 years and over","Aboriginal and/or Torres Strait Islander",203
2026,"March","People","65 years and over","Non-Indigenous",6594
2026,"March","People","65 years and over","Total People",7168
2026,"March","People","Total","Aboriginal and/or Torres Strait Islander",6955
2026,"March","People","Total","Non-Indigenous",91328
2026,"March","People","Total","Total People",102676
2025,"March","Females","00-14 years","Aboriginal and/or Torres Strait Islander",259
2025,"March","Females","00-14 years","Non-Indigenous",2167
2025,"March","Females","00-14 years","Total People",2826
2025,"March","Females","15-17 years","Aboriginal and/or Torres Strait Islander",305
2025,"March","Females","15-17 years","Non-Indigenous",2179
2025,"March","Females","15-17 years","Total People",2688
2025,"March","Females","18-19 years","Aboriginal and/or Torres Strait Islander",298
2025,"March","Females","18-19 years","Non-Indigenous",1783
2025,"March","Females","18-19 years","Total People",2200
2025,"March","Females","20-24 years","Aboriginal and/or Torres Strait Islander",722
2025,"March","Females","20-24 years","Non-Indigenous",5856
2025,"March","Females","20-24 years","Total People",6859
2025,"March","Females","25-29 years","Aboriginal and/or Torres Strait Islander",790
2025,"March","Females","25-29 years","Non-Indigenous",7862
