"Year","Year ending","Offence Division","Offence Subdivision","Offence Subgroup","Offence Count","Rate per 100,000 population"
2018,"March","D Public order and security offences","D10 Weapons and explosives offences","D13 Explosives offences",262,4.079066635
2018,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D21 Riot and affray",1364,21.236056832
2018,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D22 Drunk and disorderly in public",7961,123.944463663
2018,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D23 Offensive conduct",3930,61.185999522
2018,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D24 Offensive language",962,14.97733627
2018,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D25 Criminal intent",1610,25.066020161
2018,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D26 Disorderly conduct",264,4.110204548
2018,"March","D Public order and security offences","D30 Public nuisance offences","D31 Privacy offences",208,3.238342977
2018,"March","D Public order and security offences","D30 Public nuisance offences","D32 Hoaxes",423,6.585668651
2018,"March","D Public order and security offences","D30 Public nuisance offences","D33 Begging",227,3.534153153
2018,"March","D Public order and security offences","D30 Public nuisance offences","D35 Improper movement on public or private space",2777,43.234992538
2018,"March","D Public order and security offences","D30 Public nuisance offences","D36 Other public nuisance offences",169,2.631153669
2018,"March","D Public order and security offences","D40 Public security offences","D41 Immigration offences",1,0.015568957
2018,"March","D Public order and security offences","D40 Public security offences","D43 Hacking",86,1.338930269
2018,"March","D Public order and security offences","D40 Public security offences","D44 Terrorism offences",44,0.685034091
2018,"March","D Public order and security offences","D40 Public security offences","D49 Other public security offences",6,0.09341374
2018,"March","E Justice procedures offences","E10 Justice procedures","E11 Escape custody",126,1.961688534
2018,"March","E Justice procedures offences","E10 Justice procedures","E13 Resist or hinder officer",8644,134.578061036
2018,"March","E Justice procedures offences","E10 Justice procedures","E14 Pervert the course of justice or commit perjury",743,11.56773477
2018,"March","E Justice procedures offences","E10 Justice procedures","E15 Prison regulation offences",870,13.544992261
2018,"March","E Justice procedures offences","E10 Justice procedures","E19 Other justice procedures offences",1845,28.724724967
2018,"March","E Justice procedures offences","E20 Breaches of orders","E21 Breach family violence order",38773,603.655155084
2018,"March","E Justice procedures offences","E20 Breaches of orders","E22 Breach intervention order",3279,51.050608762
2018,"March","E Justice procedures offences","E20 Breaches of orders","E23 Breach bail conditions",13964,217.404910262
2018,"March","E Justice procedures offences","E20 Breaches of orders","E29 Breach of other orders",1060,16.503094019
2018,"March","F Other offences","F10 Regulatory driving offences","F15 Licensing offences",2,0.031137913
2018,"March","F Other offences","F10 Regulatory driving offences","F19 Other regulatory driving offences",17,0.264672263
2018,"March","F Other offences","F20 Transport regulation offences","F21 Public transport",307,4.779669683
2018,"March","F Other offences","F20 Transport regulation offences","F22 Aviation regulations offences",14,0.217965393
2018,"March","F Other offences","F20 Transport regulation offences","F23 Maritime regulations offences",92,1.432344009
2018,"March","F Other offences","F20 Transport regulation offences","F24 Pedestrian offences",24,0.373654959
2018,"March","F Other offences","F20 Transport regulation offences","F29 Other transport regulation offences",90,1.401206096
2018,"March","F Other offences","F30 Other government regulatory offences","F31 Betting and gaming offences",29,0.451499742
2018,"March","F Other offences","F30 Other government regulatory offences","F32 Commercial regulation offences",215,3.347325674
2018,"March","F Other offences","F30 Other government regulatory offences","F33 Liquor and tobacco licensing offences",317,4.935359249
2018,"March","F Other offences","F30 Other government regulatory offences","F34 Pornography and censorship offences",20,0.311379132
2018,"March","F Other offences","F30 Other government regulatory offences","F35 Intellectual property",1,0.015568957
2018,"March","F Other offences","F30 Other government regulatory offences","F36 Prostitution offences",65,1.01198218
2018,"March","F Other offences","F30 Other government regulatory offences","F39 Other government regulatory offences",77,1.19880966
2018,"March","F Other offences","F90 Miscellaneous offences","F91 Environmental offences",75,1.167671747
2018,"March","F Other offences","F90 Miscellaneous offences","F92 Public health and safety offences",26,0.404792872
2018,"March","F Other offences","F90 Miscellaneous offences","F93 Cruelty to animals",180,2.802412192
2018,"March","F Other offences","F90 Miscellaneous offences","F94 Dangerous substance offences",22,0.342517046
2018,"March","F Other offences","F90 Miscellaneous offences","F99 Other miscellaneous offences",62,0.965275311
2017,"March","A Crimes against the person","A10 Homicide and related offences","A11 Murder",69,1.094784889
2017,"March","A Crimes against the person","A10 Homicide and related offences","A12 Attempted murder",84,1.332781604
2017,"March","A Crimes against the person","A10 Homicide and related offences","A14 Manslaughter & A13  Accessory/ conspiracy to murder",10,0.158664477
2017,"March","A Crimes against the person","A10 Homicide and related offences","A15 Driving causing death",74,1.174117127
2017,"March","A Crimes against the person","A20 Assault and related offences","A211 FV Serious assault",8384,133.024297243
2017,"March","A Crimes against the person","A20 Assault and related offences","A212 Non-FV Serious assault",8666,137.498635486
2017,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",3119,49.487450275
2017,"March","A Crimes against the person","A20 Assault and related offences","A231 FV Common assault",13989,221.955736419
2017,"March","A Crimes against the person","A20 Assault and related offences","A232 Non-FV Common assault",9484,150.477389677
2017,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",4375,69.415708545
2017,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",6742,106.971590173
2017,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",460,7.298565927
2017,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",1346,21.35623856
2017,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",436,6.917771183
2017,"March","A Crimes against the person","A40 Abduction and related offences","A41 Abduction",203,3.220888876
2017,"March","A Crimes against the person","A40 Abduction and related offences","A42 False imprisonment",603,9.567467943
2017,"March","A Crimes against the person","A40 Abduction and related offences","A43 Slavery and sexual servitude offences",1,0.015866448
2017,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2891,45.869900206
2017,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",403,6.39417841
2017,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",147,2.332367807
2017,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",60,0.95198686
2017,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A711 FV Stalking",1445,22.927016879
2017,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A712 Non-FV Stalking",1103,17.500691777
2017,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A721 FV Harassment and private nuisance",1449,22.99048267
2017,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A722 Non-FV Harassment and private nuisance",822,13.042219983
2017,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A731 FV Threatening behaviour",4046,64.195647262
2017,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A732 Non-FV Threatening behaviour",3014,47.821473269
2017,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A81 Dangerous driving",933,14.803395674
2017,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A82 Neglect or ill treatment of people",56,0.888521069
2017,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A83 Throw or discharge object endangering people",1208,19.166668782
2017,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A89 Other dangerous or negligent acts endangering people",3892,61.752214321
2017,"March","B Property and deception offences","B10 Arson","B11 Cause damage by fire",2989,47.424812078
2017,"March","B Property and deception offences","B10 Arson","B12 Cause a bushfire",51,0.809188831
2017,"March","B Property and deception offences","B10 Arson","B19 Other fire related offences",568,9.012142275
2017,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",39302,623.583126223
2017,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",3252,51.597687814
2017,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",497,7.885624491
2017,"March","B Property and deception offences","B30 Burglary/Break and enter","B311 Residential aggravated burglary",4108,65.179367018
2017,"March","B Property and deception offences","B30 Burglary/Break and enter","B312 Non-residential aggravated burglary",171,2.713162551
2017,"March","B Property and deception offences","B30 Burglary/Break and enter","B319 Unknown aggravated burglary",5,0.079332238
2017,"March","B Property and deception offences","B30 Burglary/Break and enter","B321 Residential non-aggravated burglary",32165,510.344289221
2017,"March","B Property and deception offences","B30 Burglary/Break and enter","B322 Non-residential non-aggravated burglary",16890,267.984301102
2017,"March","B Property and deception offences","B30 Burglary/Break and enter","B329 Unknown non-aggravated burglary",105,1.665977005
2017,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",23615,374.686161665
2017,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",67215,1066.463279963
2017,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",23422,371.623937265
2017,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",6530,103.607903268
2017,"March","B Property and deception offences","B40 Theft","B45 Receiving or handling stolen goods",19296,306.15897419
2017,"March","B Property and deception offences","B40 Theft","B46 Fare evasion",138,2.189569778
2017,"March","B Property and deception offences","B40 Theft","B49 Other theft",48356,767.237943404
2017,"March","B Property and deception offences","B50 Deception","B51 Forgery and counterfeiting",3242,51.439023338
2017,"March","B Property and deception offences","B50 Deception","B52 Possess equipment to make false instrument",13,0.20626382
2017,"March","B Property and deception offences","B50 Deception","B53 Obtain benefit by deception",30308,480.880295903
2017,"March","B Property and deception offences","B50 Deception","B54 State false information",1285,20.388385253
2017,"March","B Property and deception offences","B50 Deception","B55 Deceptive business practices",37,0.587058564
2017,"March","B Property and deception offences","B50 Deception","B56 Professional malpractice and misrepresentation",102,1.618377662
2017,"March","B Property and deception offences","B50 Deception","B59 Other deception offences",334,5.299393521
2017,"March","B Property and deception offences","B60 Bribery","B61 Bribery of officials",22,0.349061849
2017,"March","C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",44,0.698123697
2017,"March","C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",4765,75.603623135
2017,"March","C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",904,14.343268691
2017,"March","C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",610,9.678533077
2017,"March","C Drug offences","C30 Drug use and possession","C31 Drug use",1286,20.4042517
2017,"March","C Drug offences","C30 Drug use and possession","C32 Drug possession",23271,369.228103668
2017,"March","C Drug offences","C90 Other drug offences","C99 Other drug offences",13,0.20626382
2017,"March","D Public order and security offences","D10 Weapons and explosives offences","D11 Firearms offences",4751,75.381492868
2017,"March","D Public order and security offences","D10 Weapons and explosives offences","D12 Prohibited and controlled weapons offences",10816,171.61149797
2017,"March","D Public order and security offences","D10 Weapons and explosives offences","D13 Explosives offences",347,5.505657341
2017,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D21 Riot and affray",1211,19.214268125
2017,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D22 Drunk and disorderly in public",8068,128.01049978
2017,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D23 Offensive conduct",4111,65.226966361
2017,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D24 Offensive language",970,15.390454237
2017,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D25 Criminal intent",1853,29.400527528
2017,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D26 Disorderly conduct",320,5.077263254
2017,"March","D Public order and security offences","D30 Public nuisance offences","D31 Privacy offences",108,1.713576348
2017,"March","D Public order and security offences","D30 Public nuisance offences","D32 Hoaxes",247,3.919012574
2017,"March","D Public order and security offences","D30 Public nuisance offences","D33 Begging",86,1.364514499
2017,"March","D Public order and security offences","D30 Public nuisance offences","D34 Defamation and libel",1,0.015866448
2017,"March","D Public order and security offences","D30 Public nuisance offences","D35 Improper movement on public or private space",2676,42.458613958
2017,"March","D Public order and security offences","D30 Public nuisance offences","D36 Other public nuisance offences",147,2.332367807
2017,"March","D Public order and security offences","D40 Public security offences","D41 Immigration offences",1,0.015866448
2017,"March","D Public order and security offences","D40 Public security offences","D43 Hacking",66,1.047185546
2017,"March","D Public order and security offences","D40 Public security offences","D49 Other public security offences",4,0.063465791
2017,"March","E Justice procedures offences","E10 Justice procedures","E11 Escape custody",225,3.569950725
2017,"March","E Justice procedures offences","E10 Justice procedures","E12 Fail to appear",1,0.015866448
2017,"March","E Justice procedures offences","E10 Justice procedures","E13 Resist or hinder officer",9627,152.746291694
2017,"March","E Justice procedures offences","E10 Justice procedures","E14 Pervert the course of justice or commit perjury",732,11.614239693
2017,"March","E Justice procedures offences","E10 Justice procedures","E15 Prison regulation offences",849,13.47061407
2017,"March","E Justice procedures offences","E10 Justice procedures","E19 Other justice procedures offences",1816,28.813468964
2017,"March","E Justice procedures offences","E20 Breaches of orders","E21 Breach family violence order",37725,598.561738252
2017,"March","E Justice procedures offences","E20 Breaches of orders","E22 Breach intervention order",3104,49.24945356
2017,"March","E Justice procedures offences","E20 Breaches of orders","E23 Breach bail conditions",15105,239.662692016
2017,"March","E Justice procedures offences","E20 Breaches of orders","E29 Breach of other orders",988,15.676050295
2017,"March","F Other offences","F10 Regulatory driving offences","F11 Drink driving",2,0.031732895
2017,"March","F Other offences","F10 Regulatory driving offences","F15 Licensing offences",6,0.095198686
2017,"March","F Other offences","F10 Regulatory driving offences","F19 Other regulatory driving offences",6,0.095198686
2017,"March","F Other offences","F20 Transport regulation offences","F21 Public transport",402,6.378311962
2017,"March","F Other offences","F20 Transport regulation offences","F22 Aviation regulations offences",7,0.111065134
2017,"March","F Other offences","F20 Transport regulation offences","F23 Maritime regulations offences",117,1.856374377
2017,"March","F Other offences","F20 Transport regulation offences","F24 Pedestrian offences",32,0.507726325
2017,"March","F Other offences","F20 Transport regulation offences","F29 Other transport regulation offences",157,2.491032284
2017,"March","F Other offences","F30 Other government regulatory offences","F31 Betting and gaming offences",28,0.444260535
2017,"March","F Other offences","F30 Other government regulatory offences","F32 Commercial regulation offences",130,2.062638197
2017,"March","F Other offences","F30 Other government regulatory offences","F33 Liquor and tobacco licensing offences",138,2.189569778
2017,"March","F Other offences","F30 Other government regulatory offences","F34 Pornography and censorship offences",35,0.555325668
2017,"March","F Other offences","F30 Other government regulatory offences","F35 Intellectual property",7,0.111065134
2017,"March","F Other offences","F30 Other government regulatory offences","F36 Prostitution offences",69,1.094784889
2017,"March","F Other offences","F30 Other government regulatory offences","F39 Other government regulatory offences",67,1.063051994
2017,"March","F Other offences","F90 Miscellaneous offences","F91 Environmental offences",45,0.713990145
2017,"March","F Other offences","F90 Miscellaneous offences","F92 Public health and safety offences",29,0.460126982
2017,"March","F Other offences","F90 Miscellaneous offences","F93 Cruelty to animals",238,3.776214545
2017,"March","F Other offences","F90 Miscellaneous offences","F94 Dangerous substance offences",18,0.285596058
2017,"March","F Other offences","F90 Miscellaneous offences","F99 Other miscellaneous offences",48,0.761589488
