"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Victim Reports","Rate per 100,000 population"
2024,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",465,6.689722471
2024,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2548,36.656801844
2024,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",384,5.524415976
2024,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",365,5.251072478
2024,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",75,1.078987495
2024,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance",2298,33.060176859
2024,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",5163,74.277499183
2024,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people",3340,48.050909795
2024,"March","B Property and deception offences","B10 Arson","B10 Arson",1223,17.594689425
2024,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",23784,342.168514541
2024,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",1034,14.875640937
2024,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",348,5.006501979
2024,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",5998,86.290226632
2024,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",18971,272.926290336
2024,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",14603,210.086058604
2024,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",47847,688.350862564
2024,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",269,3.869968483
2024,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",7552,108.646847537
2024,"March","B Property and deception offences","B40 Theft","Other theft offences",27087,389.687123838
2024,"March","B Property and deception offences","B50 Deception","B50 Deception",10376,149.274323363
2024,"March","C Other offences","C Other offences","C Other offences",105,1.510582494
2023,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",197,2.89826544
