"Year","Year ending","Police Region","Local Government Area","Victim Reports","Rate per 100,000 population"
2025,"March","1 North West Metro","Merri-bek",8520,4505.362015356
2025,"March","1 North West Metro","Moonee Valley",4901,3755.526777573
2025,"March","1 North West Metro","Nillumbik",1014,1589.41643024
2025,"March","1 North West Metro","Whittlesea",7448,2867.273126244
2025,"March","1 North West Metro","Wyndham",11274,3241.238536066
2025,"March","1 North West Metro","Yarra",8208,8098.188563085
2025,"March","1 North West Metro","Total",110097,4435.042381791
2025,"March","2 Eastern","Alpine",157,1186.158960411
2025,"March","2 Eastern","Bass Coast",1416,3190.842102891
2025,"March","2 Eastern","Baw Baw",2309,3677.688583078
2025,"March","2 Eastern","Benalla",520,3566.284891297
2025,"March","2 Eastern","Boroondara",5145,2880.722952279
2025,"March","2 Eastern","East Gippsland",2162,4352.815639534
2025,"March","2 Eastern","Greater Shepparton",3243,4641.809203464
2025,"March","2 Eastern","Indigo",277,1559.860344633
2025,"March","2 Eastern","Knox",4688,2861.677450861
2025,"March","2 Eastern","Latrobe",4854,6135.605217919
2025,"March","2 Eastern","Manningham",2661,2002.076561936
2025,"March","2 Eastern","Mansfield",161,1466.435923126
2025,"March","2 Eastern","Maroondah",3689,3067.852004624
2025,"March","2 Eastern","Mitchell",1924,3291.195538754
2025,"March","2 Eastern","Moira",887,2873.712175209
2025,"March","2 Eastern","Monash",7767,3666.567531971
2025,"March","2 Eastern","Murrindindi",314,2006.646216769
2025,"March","2 Eastern","South Gippsland",877,2819.119868848
2025,"March","2 Eastern","Strathbogie",276,2331.277979559
2025,"March","2 Eastern","Towong",110,1786.29425138
2025,"March","2 Eastern","Wangaratta",900,2991.126325235
2025,"March","2 Eastern","Wellington",2001,4298.511310176
2025,"March","2 Eastern","Whitehorse",6295,3398.000604569
2025,"March","2 Eastern","Wodonga",1848,4132.656484111
2025,"March","2 Eastern","Yarra Ranges",3244,2016.083924776
2025,"March","2 Eastern","Total",57725,3222.390435934
2025,"March","3 Southern Metro","Bayside",3063,2858.235974768
2025,"March","3 Southern Metro","Cardinia",3937,2949.682330376
2025,"March","3 Southern Metro","Casey",13382,3225.130082496
2025,"March","3 Southern Metro","Frankston",7258,4992.811397203
2025,"March","3 Southern Metro","Glen Eira",4743,2909.369728569
2025,"March","3 Southern Metro","Greater Dandenong",9488,5624.718408385
2025,"March","3 Southern Metro","Kingston",5640,3355.924336997
2025,"March","3 Southern Metro","Mornington Peninsula",5809,3373.070022123
2025,"March","3 Southern Metro","Port Phillip",8366,7310.764283342
2025,"March","3 Southern Metro","Stonnington",6953,6057.200602845
2025,"March","3 Southern Metro","Total",68639,4032.502537976
2025,"March","4 Western","Ararat",654,5574.497101943
2025,"March","4 Western","Ballarat",5254,4283.350046062
2025,"March","4 Western","Buloke",131,2225.242058774
2025,"March","4 Western","Campaspe",1646,4336.828792749
2025,"March","4 Western","Central Goldfields",539,3919.144913837
2025,"March","4 Western","Colac-Otway",703,3165.383403125
2025,"March","4 Western","Corangamite",393,2501.272912424
2025,"March","4 Western","Gannawarra",290,2812.530307439
2025,"March","4 Western","Glenelg",895,4495.680128592
2025,"March","4 Western","Golden Plains",365,1371.149511645
2025,"March","4 Western","Greater Bendigo",4749,3752.13324063
2025,"March","4 Western","Greater Geelong",10137,3435.665577593
2025,"March","4 Western","Hepburn",389,2286.755628711
2025,"March","4 Western","Hindmarsh",129,2368.276115293
2025,"March","4 Western","Horsham",778,3841.595891764
2025,"March","4 Western","Loddon",218,2824.565949728
2025,"March","4 Western","Macedon Ranges",1000,1836.07520564
2025,"March","4 Western","Mildura",3505,6115.967823553
2025,"March","4 Western","Moorabool",1099,2715.457600316
2025,"March","4 Western","Mount Alexander",492,2349.682410812
2025,"March","4 Western","Moyne",331,1863.738738739
2025,"March","4 Western","Northern Grampians",523,4430.701457133
2025,"March","4 Western","Pyrenees",226,2840.266432072
2025,"March","4 Western","Queenscliffe",61,1839.011154658
2025,"March","4 Western","Southern Grampians",494,2997.027240187
2025,"March","4 Western","Surf Coast",679,1686.328076493
2025,"March","4 Western","Swan Hill",848,4045.415513787
2025,"March","4 Western","Warrnambool",1385,3820.162736174
2025,"March","4 Western","West Wimmera",72,1839.08045977
2025,"March","4 Western","Yarriambiack",214,3399.523431295
2025,"March","4 Western","Total",38199,3482.158484292
2025,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",741,
2025,"March","Justice Institutions and Immigration Facilities","Total",741,
2025,"March","Unincorporated Vic","Unincorporated Vic",53,
2025,"March","Unincorporated Vic","Total",53,
2024,"March","1 North West Metro","Banyule",3273,2489.730716568
2024,"March","1 North West Metro","Brimbank",7311,3701.809638579
2024,"March","1 North West Metro","Darebin",6585,4135.033814969
2024,"March","1 North West Metro","Hobsons Bay",2646,2775.796231799
2024,"March","1 North West Metro","Hume",7961,2940.209703689
2024,"March","1 North West Metro","Maribyrnong",5085,5425.562562018
2024,"March","1 North West Metro","Melbourne",15671,8354.970276971
2024,"March","1 North West Metro","Melton",5467,2497.555894634
2024,"March","1 North West Metro","Merri-bek",6851,3693.540213278
2024,"March","1 North West Metro","Moonee Valley",4052,3135.640438309
2024,"March","1 North West Metro","Nillumbik",727,1144.377282458
2024,"March","1 North West Metro","Whittlesea",5538,2193.80600385
2024,"March","1 North West Metro","Wyndham",8457,2522.068471907
2024,"March","1 North West Metro","Yarra",6676,6681.211344849
2024,"March","1 North West Metro","Total",86300,3565.535197988
2024,"March","2 Eastern","Alpine",180,1372.474266108
2024,"March","2 Eastern","Bass Coast",1347,3098.831324193
2024,"March","2 Eastern","Baw Baw",1839,2976.065250109
2024,"March","2 Eastern","Benalla",498,3422.210005498
2024,"March","2 Eastern","Boroondara",3971,2239.138402549
2024,"March","2 Eastern","East Gippsland",2070,4208.771323425
2024,"March","2 Eastern","Greater Shepparton",2749,3958.585334946
2024,"March","2 Eastern","Indigo",273,1549.55159496
2024,"March","2 Eastern","Knox",3977,2440.536095633
2024,"March","2 Eastern","Latrobe",4498,5731.834747815
2024,"March","2 Eastern","Manningham",2613,1989.144584091
2024,"March","2 Eastern","Mansfield",186,1727.019498607
2024,"March","2 Eastern","Maroondah",2776,2331.362536952
2024,"March","2 Eastern","Mitchell",1631,2908.397082687
2024,"March","2 Eastern","Moira",936,3054.730589733
2024,"March","2 Eastern","Monash",6484,3108.371125322
2024,"March","2 Eastern","Murrindindi",357,2295.819935691
2024,"March","2 Eastern","South Gippsland",807,2608.527006497
2024,"March","2 Eastern","Strathbogie",266,2274.476271911
2024,"March","2 Eastern","Towong",117,1904.606869608
2024,"March","2 Eastern","Wangaratta",950,3162.660629869
2024,"March","2 Eastern","Wellington",1798,3885.299392787
2024,"March","2 Eastern","Whitehorse",5015,2743.300384554
2024,"March","2 Eastern","Wodonga",1799,4069.859511798
2024,"March","2 Eastern","Yarra Ranges",2718,1701.099643883
2024,"March","2 Eastern","Total",49855,2813.643192456
2024,"March","3 Southern Metro","Bayside",3164,2989.615715325
2024,"March","3 Southern Metro","Cardinia",2955,2271.486882259
2024,"March","3 Southern Metro","Casey",10795,2670.654712425
2024,"March","3 Southern Metro","Frankston",6132,4249.74530636
2024,"March","3 Southern Metro","Glen Eira",4187,2608.170231851
2024,"March","3 Southern Metro","Greater Dandenong",7938,4760.50543638
2024,"March","3 Southern Metro","Kingston",5484,3302.202070199
2024,"March","3 Southern Metro","Mornington Peninsula",4490,2627.928618669
2024,"March","3 Southern Metro","Port Phillip",6851,6103.667011154
2024,"March","3 Southern Metro","Stonnington",5758,5079.39308398
2024,"March","3 Southern Metro","Total",57754,3449.573417368
2024,"March","4 Western","Ararat",509,4378.494623656
2024,"March","4 Western","Ballarat",5218,4328.171268839
2024,"March","4 Western","Buloke",135,2280.020266847
2024,"March","4 Western","Campaspe",1431,3767.375737152
2024,"March","4 Western","Central Goldfields",491,3588.656629148
2024,"March","4 Western","Colac-Otway",580,2611.671469741
2024,"March","4 Western","Corangamite",374,2373.247033441
2024,"March","4 Western","Gannawarra",323,3124.39543432
2024,"March","4 Western","Glenelg",616,3094.23347398
2024,"March","4 Western","Golden Plains",359,1369.340504253
2024,"March","4 Western","Greater Bendigo",4315,3443.927434094
2024,"March","4 Western","Greater Geelong",9245,3202.552342418
2024,"March","4 Western","Hepburn",380,2259.618243444
2024,"March","4 Western","Hindmarsh",152,2795.145273998
2024,"March","4 Western","Horsham",845,4169.339320077
2024,"March","4 Western","Loddon",209,2706.903250874
2024,"March","4 Western","Macedon Ranges",794,1481.757954651
2024,"March","4 Western","Mildura",3439,6019.182973361
2024,"March","4 Western","Moorabool",1058,2664.383389156
2024,"March","4 Western","Mount Alexander",454,2191.436984119
2024,"March","4 Western","Moyne",298,1686.856107778
2024,"March","4 Western","Northern Grampians",418,3565.336062777
2024,"March","4 Western","Pyrenees",186,2346.707040121
2024,"March","4 Western","Queenscliffe",45,1370.697532744
2024,"March","4 Western","Southern Grampians",487,2960.486322188
2024,"March","4 Western","Surf Coast",635,1594.115579656
2024,"March","4 Western","Swan Hill",771,3683.531603841
2024,"March","4 Western","Warrnambool",1103,3072.594573514
2024,"March","4 Western","West Wimmera",87,2229.054573405
2024,"March","4 Western","Yarriambiack",199,3153.224528601
2024,"March","4 Western","Total",35156,3244.717965378
2024,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",569,
2024,"March","Justice Institutions and Immigration Facilities","Total",569,
2024,"March","Unincorporated Vic","Unincorporated Vic",68,
2024,"March","Unincorporated Vic","Total",68,
2023,"March","1 North West Metro","Banyule",2832,2190.729624358
2023,"March","1 North West Metro","Brimbank",6782,3467.297890071
2023,"March","1 North West Metro","Darebin",5745,3701.532157262
2023,"March","1 North West Metro","Hobsons Bay",2792,2985.90464783
2023,"March","1 North West Metro","Hume",7565,2886.501171389
2023,"March","1 North West Metro","Maribyrnong",4276,4678.541730491
2023,"March","1 North West Metro","Melbourne",13936,7891.145677027
2023,"March","1 North West Metro","Melton",4730,2302.296942764
2023,"March","1 North West Metro","Merri-bek",6246,3460.82880367
2023,"March","1 North West Metro","Moonee Valley",3459,2742.299916756
2023,"March","1 North West Metro","Nillumbik",716,1133.664777225
2023,"March","1 North West Metro","Whittlesea",5020,2053.119350854
2023,"March","1 North West Metro","Wyndham",8368,2592.22888935
2023,"March","1 North West Metro","Yarra",6112,6308.640318735
2023,"March","1 North West Metro","Total",78579,3353.661269073
2023,"March","2 Eastern","Alpine",201,1532.362582908
2023,"March","2 Eastern","Bass Coast",1305,3058.139807372
2023,"March","2 Eastern","Baw Baw",1587,2619.633218336
2023,"March","2 Eastern","Benalla",505,3490.702979194
2023,"March","2 Eastern","Boroondara",3987,2288.748564868
2023,"March","2 Eastern","East Gippsland",1765,3601.893800253
2023,"March","2 Eastern","Greater Shepparton",2783,4043.588812205
2023,"March","2 Eastern","Indigo",308,1759.49728649
2023,"March","2 Eastern","Knox",3595,2225.289690007
2023,"March","2 Eastern","Latrobe",4117,5284.031111225
2023,"March","2 Eastern","Manningham",2060,1593.268055749
