"Year","Year ending","Police Region","Local Government Area","Incidents Recorded","Rate per 100,000 population"
2025,"March","1 North West Metro","Merri-bek",12519,6620.026651437
2025,"March","1 North West Metro","Moonee Valley",8020,6145.546777419
2025,"March","1 North West Metro","Nillumbik",1755,2750.913052338
2025,"March","1 North West Metro","Whittlesea",13629,5246.786444358
2025,"March","1 North West Metro","Wyndham",18555,5334.502486847
2025,"March","1 North West Metro","Yarra",13020,12845.810805478
2025,"March","1 North West Metro","Total",184616,7436.894596191
2025,"March","2 Eastern","Alpine",329,2485.645210033
2025,"March","2 Eastern","Bass Coast",2502,5638.0557496
2025,"March","2 Eastern","Baw Baw",3987,6350.344036697
2025,"March","2 Eastern","Benalla",1158,7941.842123311
2025,"March","2 Eastern","Boroondara",7737,4332.002620366
2025,"March","2 Eastern","East Gippsland",4167,8389.538746502
2025,"March","2 Eastern","Greater Shepparton",7082,10136.692192085
2025,"March","2 Eastern","Indigo",467,2629.800653227
2025,"March","2 Eastern","Knox",8507,5192.894640459
2025,"March","2 Eastern","Latrobe",9767,12345.78824957
2025,"March","2 Eastern","Manningham",4146,3119.357168653
2025,"March","2 Eastern","Mansfield",316,2878.222060297
2025,"March","2 Eastern","Maroondah",6828,5678.312140843
2025,"March","2 Eastern","Mitchell",3769,6447.25363075
2025,"March","2 Eastern","Moira",1742,5643.750404976
2025,"March","2 Eastern","Monash",12098,5711.102613851
2025,"March","2 Eastern","Murrindindi",507,3240.030674847
2025,"March","2 Eastern","South Gippsland",1607,5165.707673021
2025,"March","2 Eastern","Strathbogie",558,4713.235915196
2025,"March","2 Eastern","Towong",162,2630.724261124
2025,"March","2 Eastern","Wangaratta",2020,6713.416863306
2025,"March","2 Eastern","Wellington",3751,8057.829047711
2025,"March","2 Eastern","Whitehorse",9258,4997.408990802
2025,"March","2 Eastern","Wodonga",3630,8117.71809379
2025,"March","2 Eastern","Yarra Ranges",5926,3682.895603644
2025,"March","2 Eastern","Total",102021,5695.131999384
2025,"March","3 Southern Metro","Bayside",4609,4300.884625434
2025,"March","3 Southern Metro","Cardinia",6797,5092.453847998
2025,"March","3 Southern Metro","Casey",21336,5142.084549405
2025,"March","3 Southern Metro","Frankston",13376,9201.411580186
2025,"March","3 Southern Metro","Glen Eira",6752,4141.696058887
2025,"March","3 Southern Metro","Greater Dandenong",16957,10052.52424652
2025,"March","3 Southern Metro","Kingston",10182,6058.514467961
2025,"March","3 Southern Metro","Mornington Peninsula",9504,5518.618951671
2025,"March","3 Southern Metro","Port Phillip",12313,10759.91401157
2025,"March","3 Southern Metro","Stonnington",10822,9427.732622464
2025,"March","3 Southern Metro","Total",112648,6618.006467138
2025,"March","4 Western","Ararat",1263,10765.427889533
2025,"March","4 Western","Ballarat",10113,8244.674346369
2025,"March","4 Western","Buloke",227,3855.953796501
2025,"March","4 Western","Campaspe",3157,8317.963850977
2025,"March","4 Western","Central Goldfields",1107,8049.152912092
2025,"March","4 Western","Colac-Otway",1356,6105.632851547
2025,"March","4 Western","Corangamite",655,4168.788187373
2025,"March","4 Western","Gannawarra",605,5867.520124139
2025,"March","4 Western","Glenelg",1612,8097.247337754
2025,"March","4 Western","Golden Plains",637,2392.937640872
2025,"March","4 Western","Greater Bendigo",9495,7501.896213893
2025,"March","4 Western","Greater Geelong",18942,6419.885308352
2025,"March","4 Western","Hepburn",649,3815.178413967
2025,"March","4 Western","Hindmarsh",228,4185.790343308
2025,"March","4 Western","Horsham",1749,8636.184080585
2025,"March","4 Western","Loddon",385,4988.338947914
2025,"March","4 Western","Macedon Ranges",2006,3683.166862515
2025,"March","4 Western","Mildura",6368,11111.69275332
2025,"March","4 Western","Moorabool",2041,5042.992686302
2025,"March","4 Western","Mount Alexander",991,4732.795262429
2025,"March","4 Western","Moyne",529,2978.603603604
2025,"March","4 Western","Northern Grampians",931,7887.156895967
