"Year","Year ending","Police Region","Local Government Area","Family Incidents","Rate per 100,000 population"
2025,"March","1 North West Metro","Moonee Valley",1348,1032.942276304
2025,"March","1 North West Metro","Nillumbik",532,833.895010737
2025,"March","1 North West Metro","Whittlesea",3319,1277.722812299
2025,"March","1 North West Metro","Wyndham",4140,1190.236609838
2025,"March","1 North West Metro","Yarra",1310,1292.474051857
2025,"March","1 North West Metro","Total",30936,1246.196273496
2025,"March","2 Eastern","Alpine",158,1193.714113025
2025,"March","2 Eastern","Bass Coast",917,2066.385740361
2025,"March","2 Eastern","Baw Baw",1321,2104.039245668
2025,"March","2 Eastern","Benalla",414,2839.311432686
2025,"March","2 Eastern","Boroondara",1107,619.817358245
2025,"March","2 Eastern","East Gippsland",2396,4823.934446033
2025,"March","2 Eastern","Greater Shepparton",2506,3586.917626852
2025,"March","2 Eastern","Indigo",180,1013.627660773
2025,"March","2 Eastern","Knox",1991,1215.358320107
2025,"March","2 Eastern","Latrobe",3095,3912.1751441
2025,"March","2 Eastern","Manningham",953,717.015769833
2025,"March","2 Eastern","Mansfield",123,1120.320612078
2025,"March","2 Eastern","Maroondah",1475,1226.641828902
2025,"March","2 Eastern","Mitchell",1421,2430.763441044
2025,"March","2 Eastern","Moira",660,2138.275124733
2025,"March","2 Eastern","Monash",1971,930.449929898
2025,"March","2 Eastern","Murrindindi",208,1329.243353783
2025,"March","2 Eastern","South Gippsland",612,1967.276350895
2025,"March","2 Eastern","Strathbogie",182,1537.292001014
2025,"March","2 Eastern","Towong",66,1071.776550828
2025,"March","2 Eastern","Wangaratta",726,2412.841902356
2025,"March","2 Eastern","Wellington",1507,3237.309617409
2025,"March","2 Eastern","Whitehorse",1484,801.053677074
2025,"March","2 Eastern","Wodonga",1100,2459.914573876
2025,"March","2 Eastern","Yarra Ranges",1979,1229.910631052
2025,"March","2 Eastern","Total",28552,1593.862134721
2025,"March","3 Southern Metro","Bayside",768,716.658579374
2025,"March","3 Southern Metro","Cardinia",1985,1487.203308559
2025,"March","3 Southern Metro","Casey",6406,1543.878591277
2025,"March","3 Southern Metro","Frankston",3085,2122.185610412
2025,"March","3 Southern Metro","Glen Eira",1202,737.310228493
2025,"March","3 Southern Metro","Greater Dandenong",2959,1754.167555903
2025,"March","3 Southern Metro","Kingston",2015,1198.969421817
2025,"March","3 Southern Metro","Mornington Peninsula",2490,1445.850293525
2025,"March","3 Southern Metro","Port Phillip",1609,1406.050649283
2025,"March","3 Southern Metro","Stonnington",1052,916.464121127
2025,"March","3 Southern Metro","Total",23571,1384.782956084
2025,"March","4 Western","Ararat",307,2616.774633481
2025,"March","4 Western","Ballarat",3013,2456.363473313
2025,"March","4 Western","Buloke",85,1443.859351113
2025,"March","4 Western","Campaspe",843,2221.109764452
2025,"March","4 Western","Central Goldfields",376,2733.948956591
2025,"March","4 Western","Colac-Otway",490,2206.31275609
2025,"March","4 Western","Corangamite",221,1406.568228106
