"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Alleged Offender Incidents","Rate per 100,000 population 10 years and older","Rate per 100,000 population 12 years and older"
2026,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",64,1.002044017,1.029623985
2026,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",90,1.409124399,1.447908729
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking",1857,29.074933441,29.875183449
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A72 Harassment and private nuisance",598,9.362848787,9.620549113
2026,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",4483,70.190052027,72.121942595
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A81 Dangerous driving",1109,17.363543988,17.84145312
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A82 Neglect or ill treatment of people",16,0.250511004,0.257405996
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A83 Throw or discharge object endangering people",582,9.112337783,9.363143116
2026,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A89 Other dangerous or negligent acts endangering people",1397,21.872742066,22.474761054
2026,"March","B Property and deception offences","B10 Arson","B11 Cause damage by fire",1015,15.891791837,16.329192892
2026,"March","B Property and deception offences","B10 Arson","B12 Cause a bushfire",47,0.735876075,0.756130114
2026,"March","B Property and deception offences","B10 Arson","B19 Other fire related offences",610,9.55073204,9.81360361
2026,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",11815,184.986719763,190.078240412
2026,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",410,6.419344486,6.596028656
2026,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",63,0.98638708,1.013536111
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",3343,52.341142968,53.781765357
2026,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",8499,133.068314115,136.730847673
2026,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",8686,135.996161478,139.739280255
2026,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",3668,57.429647744,59.010324658
2026,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",20998,328.764379313,337.813194428
2026,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",776,12.14978371,12.484190822
2026,"March","B Property and deception offences","B40 Theft","B45 Receiving or handling stolen goods",4083,63.927276919,65.686792687
2026,"March","B Property and deception offences","B40 Theft","B46 Fare evasion",4,0.062627751,0.064351499
2026,"March","B Property and deception offences","B40 Theft","B49 Other theft",6042,94.599218012,97.202939362
2026,"March","B Property and deception offences","B50 Deception & B60 Bribery","B51 Forgery and counterfeiting",1741,27.258728659,28.008989975
2026,"March","B Property and deception offences","B50 Deception & B60 Bribery","B53 Obtain benefit by deception",4715,73.82246159,75.854329542
2026,"March","B Property and deception offences","B50 Deception & B60 Bribery","B54 State false information",334,5.229417215,5.373350173
2026,"March","B Property and deception offences","B50 Deception & B60 Bribery","B56 Professional malpractice and misrepresentation",30,0.469708133,0.482636243
2026,"March","B Property and deception offences","B50 Deception & B60 Bribery","Other deception offences & B61 Bribery of officials",74,1.158613395,1.190502733
2026,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C11 Drug dealing & C99 Other drug offences",23,0.360109569,0.37002112
2026,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C12 Drug trafficking",2155,33.740700896,34.66937013
2026,"March","C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",457,7.155220561,7.35215877
2026,"March","C Drug offences","C20 Cultivate or manufacture drugs","C22 Manufacture drugs & C23 Possess drug manufacturing equipment or precursor",1455,22.780844457,23.407857791
2026,"March","C Drug offences","C30 Drug use and possession","C31 Drug use",31,0.485365071,0.498724118
2026,"March","C Drug offences","C30 Drug use and possession","C32 Drug possession",9013,141.115980129,145.000015305
2026,"March","D Public order and security offences","D10 Weapons and explosives offences","D11 Firearms offences",1789,28.010261672,28.781207964
2026,"March","D Public order and security offences","D10 Weapons and explosives offences","D12 Prohibited and controlled weapons offences",6204,97.135641931,99.809175075
2026,"March","D Public order and security offences","D10 Weapons and explosives offences","D13 Explosives offences",153,2.395511479,2.46144484
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D21 Riot and affray",581,9.096680845,9.347055242
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D22 Drunk and disorderly in public",9,0.14091244,0.144790873
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D23 Offensive conduct",1059,16.580697099,17.037059382
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D24 Offensive language",223,3.491497123,3.587596074
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D25 Criminal intent",160,2.505110043,2.574059963
2026,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D26 Disorderly conduct",253,3.961205256,4.070232317
2026,"March","D Public order and security offences","D30 Public nuisance offences","D31 Privacy offences",35,0.547992822,0.563075617
2026,"March","D Public order and security offences","D30 Public nuisance offences","D32 Hoaxes",61,0.955073204,0.981360361
2026,"March","D Public order and security offences","D30 Public nuisance offences","D33 Begging",2,0.031313876,0.03217575
2026,"March","D Public order and security offences","D30 Public nuisance offences","D34 Defamation and libel & D36 Other public nuisance offences",5,0.078284689,0.080439374
2026,"March","D Public order and security offences","D30 Public nuisance offences","D35 Improper movement on public or private space",1219,19.085807143,19.611119345
2026,"March","D Public order and security offences","D40 Public security offences","D40 Public security offences",18,0.28182488,0.289581746
2026,"March","E Justice procedures offences","E10 Justice procedures","E11 Escape custody & E12 Fail to appear",73,1.142956457,1.174414858
2026,"March","E Justice procedures offences","E10 Justice procedures","E13 Resist or hinder officer",1827,28.605225307,29.392547205
2026,"March","E Justice procedures offences","E10 Justice procedures","E14 Pervert the course of justice or commit perjury",289,4.524855016,4.649395809
2026,"March","E Justice procedures offences","E10 Justice procedures","E15 Prison regulation offences",218,3.413212434,3.5071567
2026,"March","E Justice procedures offences","E10 Justice procedures","E19 Other justice procedures offences",553,8.658286587,8.896594748
2026,"March","E Justice procedures offences","E20 Breaches of orders","E21 Breach family violence order",21172,331.488686486,340.612484638
2026,"March","E Justice procedures offences","E20 Breaches of orders","E22 Breach intervention order",3130,49.006215223,50.355048031
2026,"March","E Justice procedures offences","E20 Breaches of orders","E23 Breach bail conditions",8421,131.847072969,135.475993441
2026,"March","E Justice procedures offences","E20 Breaches of orders","E29 Breach of other orders",1172,18.349931068,18.854989231
2026,"March","F Other offences","F10 Regulatory driving offences & F20 Transport regulation offences","F10 Regulatory driving offences & F20 Transport regulation offences",224,3.507154061,3.603683949
2026,"March","F Other offences","F30 Other government regulatory offences","F30 Other government regulatory offences",91,1.424781337,1.463996604
2026,"March","F Other offences","F90 Miscellaneous offences","F90 Miscellaneous offences",105,1.643978466,1.689226851
2025,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",208,3.317839448,3.409638195
2025,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",13236,211.129437211,216.971015125
2025,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",1963,31.312109795,32.178460463
2025,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",19292,307.729608846,316.243942565
2025,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",1288,20.545082739,21.113528821
2025,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",1597,25.473988458,26.17880864
2025,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",79,1.260140944,1.295006814
2025,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",543,8.661475099,8.901122787
2025,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",458,7.305627247,7.507761025
2025,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",317,5.056514929,5.196419749
2025,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2894,46.162631557,47.439869883
2025,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",199,3.174279088,3.262105773
2025,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",45,0.717801804,0.737662109
2025,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",60,0.957069072,0.983549479
2025,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking",1586,25.298525795,25.998491235
2025,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A72 Harassment and private nuisance",480,7.656552573,7.868395834
2025,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",4148,66.165375155,67.996053999
2025,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A81 Dangerous driving",889,14.180573412,14.572924784
2025,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A82 Neglect or ill treatment of people",10,0.159511512,0.163924913
2025,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A83 Throw or discharge object endangering people",457,7.289676096,7.491368534
2025,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A89 Other dangerous or negligent acts endangering people",1403,22.379465126,22.998665323
2025,"March","B Property and deception offences","B10 Arson","B11 Cause damage by fire",954,15.21739824,15.63843672
2025,"March","B Property and deception offences","B10 Arson","B12 Cause a bushfire",23,0.366876477,0.3770273
2025,"March","B Property and deception offences","B10 Arson","B19 Other fire related offences",428,6.827092711,7.015986285
2025,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",11037,176.052855735,180.92392671
2025,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",381,6.077388605,6.245539193
2025,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",64,1.020873676,1.049119445
2025,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",3721,59.354233595,60.996460205
2025,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",9097,145.107622417,149.122493547
2025,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",8328,132.841187148,136.516667721
2025,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",3951,63.02299837,64.766733209
2025,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",18803,299.929495912,308.228014309
2025,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",733,11.692193826,12.015696138
2025,"March","B Property and deception offences","B40 Theft","B45 Receiving or handling stolen goods",4018,64.0917255,65.865030128
2025,"March","B Property and deception offences","B40 Theft","B46 Fare evasion",5,0.079755756,0.081962457
2025,"March","B Property and deception offences","B40 Theft","B49 Other theft",5793,92.40501887,94.961702223
2025,"March","B Property and deception offences","B50 Deception & B60 Bribery","B51 Forgery and counterfeiting",1195,19.061625678,19.589027129
2025,"March","B Property and deception offences","B50 Deception & B60 Bribery","B53 Obtain benefit by deception",5076,80.968043464,83.208285945
2025,"March","B Property and deception offences","B50 Deception & B60 Bribery","B54 State false information",323,5.152221836,5.294774697
2025,"March","B Property and deception offences","B50 Deception & B60 Bribery","B56 Professional malpractice and misrepresentation",31,0.494485687,0.508167231
2025,"March","B Property and deception offences","B50 Deception & B60 Bribery","Other deception offences & B61 Bribery of officials",88,1.403701305,1.442539236
2025,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C11 Drug dealing & C99 Other drug offences",19,0.303071873,0.311457335
2025,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C12 Drug trafficking",2018,32.189423111,33.080047486
2025,"March","C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",523,8.342452075,8.573272961
2025,"March","C Drug offences","C20 Cultivate or manufacture drugs","C22 Manufacture drugs & C23 Possess drug manufacturing equipment or precursor",1325,21.135275333,21.720051
2025,"March","C Drug offences","C30 Drug use and possession","C31 Drug use",24,0.382827629,0.393419792
2025,"March","C Drug offences","C30 Drug use and possession","C32 Drug possession",8369,133.495184347,137.188759865
2025,"March","D Public order and security offences","D10 Weapons and explosives offences","D11 Firearms offences",1617,25.793011482,26.506658466
2025,"March","D Public order and security offences","D10 Weapons and explosives offences","D12 Prohibited and controlled weapons offences",5508,87.85894078,90.289842196
2025,"March","D Public order and security offences","D10 Weapons and explosives offences","D13 Explosives offences",127,2.025796202,2.081846398
2025,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D21 Riot and affray",622,9.921616043,10.196129602
2025,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D22 Drunk and disorderly in public",25,0.39877878,0.409812283
2025,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D23 Offensive conduct",769,12.266435269,12.605825826
2025,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D24 Offensive language",132,2.105551958,2.163808854
2025,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D25 Criminal intent",117,1.86628469,1.917921485
2025,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D26 Disorderly conduct",228,3.636862472,3.737488021
2025,"March","D Public order and security offences","D30 Public nuisance offences","D31 Privacy offences",30,0.478534536,0.49177474
2025,"March","D Public order and security offences","D30 Public nuisance offences","D32 Hoaxes",57,0.909215618,0.934372005
2025,"March","D Public order and security offences","D30 Public nuisance offences","D33 Begging",8,0.12760921,0.131139931
2025,"March","D Public order and security offences","D30 Public nuisance offences","D34 Defamation and libel & D36 Other public nuisance offences",9,0.143560361,0.147532422
2025,"March","D Public order and security offences","D30 Public nuisance offences","D35 Improper movement on public or private space",1000,15.951151195,16.392491321
2025,"March","D Public order and security offences","D40 Public security offences","D40 Public security offences",13,0.207364966,0.213102387
2025,"March","E Justice procedures offences","E10 Justice procedures","E11 Escape custody & E12 Fail to appear",37,0.590192594,0.606522179
2025,"March","E Justice procedures offences","E10 Justice procedures","E13 Resist or hinder officer",1386,22.108295556,22.719992971
2025,"March","E Justice procedures offences","E10 Justice procedures","E14 Pervert the course of justice or commit perjury",292,4.657736149,4.786607466
2025,"March","E Justice procedures offences","E10 Justice procedures","E15 Prison regulation offences",95,1.515359363,1.557286675
2025,"March","E Justice procedures offences","E10 Justice procedures","E19 Other justice procedures offences",556,8.868840064,9.114225174
2025,"March","E Justice procedures offences","E20 Breaches of orders","E21 Breach family violence order",19318,308.144338777,316.670147339
2025,"March","E Justice procedures offences","E20 Breaches of orders","E22 Breach intervention order",2652,42.302452968,43.472886983
2025,"March","E Justice procedures offences","E20 Breaches of orders","E23 Breach bail conditions",5997,95.659053714,98.305770452
2025,"March","E Justice procedures offences","E20 Breaches of orders","E29 Breach of other orders",1343,21.422396054,22.015115844
2025,"March","F Other offences","F10 Regulatory driving offences & F20 Transport regulation offences","F10 Regulatory driving offences & F20 Transport regulation offences",177,2.823353761,2.901470964
2025,"March","F Other offences","F30 Other government regulatory offences","F30 Other government regulatory offences",100,1.595115119,1.639249132
2025,"March","F Other offences","F90 Miscellaneous offences","F90 Miscellaneous offences",103,1.642968573,1.688426606
2024,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",191,3.104080973,3.191327076
2024,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",12164,197.686078278,203.242421726
2024,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",1781,28.94433619,29.757871843
2024,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",18432,299.551939726,307.971417071
2024,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",1259,20.460931647,21.03602507
2024,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",1600,26.002772546,26.733629954
2024,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",99,1.608921551,1.654143353
2024,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",519,8.434649344,8.671721216
2024,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",430,6.988245122,7.18466305
2024,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",240,3.900415882,4.010044493
2024,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2610,42.417022715,43.609233863
2024,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",253,4.111688409,4.227255236
2024,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",54,0.877593573,0.902260011
2024,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",47,0.763831444,0.78530038
2024,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking",1544,25.092675507,25.797952906
2024,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A72 Harassment and private nuisance",428,6.955741656,7.151246013
2024,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",3780,61.431550139,63.158200767
2024,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A81 Dangerous driving",774,12.578841219,12.93239349
2024,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A82 Neglect or ill treatment of people",23,0.373789855,0.384295931
2024,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A83 Throw or discharge object endangering people",382,6.208161945,6.382654152
2024,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A89 Other dangerous or negligent acts endangering people",1546,25.125178972,25.831369943
2024,"March","B Property and deception offences","B10 Arson","B11 Cause damage by fire",716,11.636240714,11.963299404
2024,"March","B Property and deception offences","B10 Arson","B12 Cause a bushfire",26,0.422545054,0.434421487
2024,"March","B Property and deception offences","B10 Arson","B19 Other fire related offences",255,4.144191874,4.260672274
2024,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",9790,159.104464514,163.576398282
2024,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",333,5.411827036,5.563936734
2024,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",62,1.007607436,1.035928161
2024,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",2864,46.544962857,47.853197618
2024,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",7242,117.695049235,121.00309258
2024,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",6372,103.556041663,106.466681292
2024,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",3619,58.815021152,60.468129252
2024,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",13535,219.967204003,226.149800893
2024,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",556,9.03596346,9.289936409
2024,"March","B Property and deception offences","B40 Theft","B45 Receiving or handling stolen goods",2956,48.040122278,49.39038134
2024,"March","B Property and deception offences","B40 Theft","B46 Fare evasion",2,0.032503466,0.033417037
2024,"March","B Property and deception offences","B40 Theft","B49 Other theft",4939,80.267308502,82.523373965
2024,"March","B Property and deception offences","B50 Deception & B60 Bribery","B51 Forgery and counterfeiting",1100,17.876906125,18.379370593
2024,"March","B Property and deception offences","B50 Deception & B60 Bribery","B53 Obtain benefit by deception",5007,81.372426335,83.659553238
2024,"March","B Property and deception offences","B50 Deception & B60 Bribery","B54 State false information",355,5.769365159,5.931524146
2024,"March","B Property and deception offences","B50 Deception & B60 Bribery","B56 Professional malpractice and misrepresentation",30,0.487551985,0.501255562
2024,"March","B Property and deception offences","B50 Deception & B60 Bribery","Other deception offences & B61 Bribery of officials",94,1.527662887,1.57060076
2024,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C11 Drug dealing & C99 Other drug offences",21,0.34128639,0.350878893
2024,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C12 Drug trafficking",2175,35.347518929,36.341028219
2024,"March","C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",565,9.182229055,9.440313078
2024,"March","C Drug offences","C20 Cultivate or manufacture drugs","C22 Manufacture drugs & C23 Possess drug manufacturing equipment or precursor",1089,17.698137064,18.195576888
2024,"March","C Drug offences","C30 Drug use and possession","C31 Drug use",23,0.373789855,0.384295931
2024,"March","C Drug offences","C30 Drug use and possession","C32 Drug possession",8124,132.0290776,135.740006092
2024,"March","D Public order and security offences","D10 Weapons and explosives offences","D11 Firearms offences",1528,24.832647781,25.530616606
2024,"March","D Public order and security offences","D10 Weapons and explosives offences","D12 Prohibited and controlled weapons offences",5122,83.241375612,85.581032891
2024,"March","D Public order and security offences","D10 Weapons and explosives offences","D13 Explosives offences",106,1.722683681,1.771102984
2024,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D21 Riot and affray",538,8.743432268,8.989183072
2024,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D22 Drunk and disorderly in public",1478,24.020061139,24.69519067
2024,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D23 Offensive conduct",921,14.967845947,15.388545742
2024,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D24 Offensive language",191,3.104080973,3.191327076
2024,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D25 Criminal intent",86,1.397649024,1.43693261
2024,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D26 Disorderly conduct",167,2.714039384,2.790322626
2024,"March","D Public order and security offences","D30 Public nuisance offences","D31 Privacy offences",27,0.438796787,0.451130005
2024,"March","D Public order and security offences","D30 Public nuisance offences","D32 Hoaxes",48,0.780083176,0.802008899
2024,"March","D Public order and security offences","D30 Public nuisance offences","D33 Begging",8,0.130013863,0.13366815
2024,"March","D Public order and security offences","D30 Public nuisance offences","D34 Defamation and libel & D36 Other public nuisance offences",7,0.11376213,0.116959631
2024,"March","D Public order and security offences","D30 Public nuisance offences","D35 Improper movement on public or private space",873,14.18776277,14.586536844
2024,"March","D Public order and security offences","D40 Public security offences","D40 Public security offences",10,0.162517328,0.167085187
2024,"March","E Justice procedures offences","E10 Justice procedures","E11 Escape custody & E12 Fail to appear",28,0.45504852,0.467838524
2024,"March","E Justice procedures offences","E10 Justice procedures","E13 Resist or hinder officer",1375,22.346132656,22.974213242
2024,"March","E Justice procedures offences","E10 Justice procedures","E14 Pervert the course of justice or commit perjury",286,4.647995593,4.778636354
2024,"March","E Justice procedures offences","E10 Justice procedures","E15 Prison regulation offences",123,1.998963139,2.055147803
2024,"March","E Justice procedures offences","E10 Justice procedures","E19 Other justice procedures offences",574,9.328494651,9.590689746
2024,"March","E Justice procedures offences","E20 Breaches of orders","E21 Breach family violence order",16691,271.257672849,278.881885977
2024,"March","E Justice procedures offences","E20 Breaches of orders","E22 Breach intervention order",2165,35.185001601,36.173943032
2024,"March","E Justice procedures offences","E20 Breaches of orders","E23 Breach bail conditions",7589,123.33440053,126.800948576
2024,"March","E Justice procedures offences","E20 Breaches of orders","E29 Breach of other orders",1229,19.973379662,20.534769508
2024,"March","F Other offences","F10 Regulatory driving offences & F20 Transport regulation offences","F10 Regulatory driving offences & F20 Transport regulation offences",180,2.925311911,3.00753337
2024,"March","F Other offences","F30 Other government regulatory offences","F30 Other government regulatory offences",57,0.926348772,0.952385567
2024,"March","F Other offences","F90 Miscellaneous offences","F90 Miscellaneous offences",103,1.673928483,1.720977428
2023,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",173,2.882174699,2.964170207
2023,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",11922,198.620154698,204.270735313
2023,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",1860,30.987543008,31.869113209
2023,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",19598,326.502079497,335.790796063
2023,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",1197,19.941983323,20.509316404
2023,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",1570,26.156151894,26.900272978
2023,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",93,1.54937715,1.59345566
2023,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",375,6.24748851,6.425224437
2023,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",380,6.330788356,6.510894097
2023,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",290,4.831391114,4.968840232
2023,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",1978,32.953419392,33.890917166
2023,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",161,2.682255067,2.758563025
2023,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",33,0.549778989,0.56541975
2023,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",37,0.616418866,0.633955478
2023,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking",1520,25.323153426,26.043576386
2023,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A72 Harassment and private nuisance",391,6.514048019,6.699367347
2023,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",3944,65.706919152,67.576227149
2023,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A81 Dangerous driving",859,14.310913679,14.718047445
2023,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A82 Neglect or ill treatment of people",24,0.399839265,0.411214364
2023,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A83 Throw or discharge object endangering people",382,6.364108295,6.54516196
2023,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A89 Other dangerous or negligent acts endangering people",1701,28.33860788,29.144818048
2023,"March","B Property and deception offences","B10 Arson","B11 Cause damage by fire",609,10.14592134,10.434564486
2023,"March","B Property and deception offences","B10 Arson","B12 Cause a bushfire",17,0.283219479,0.291276841
2023,"March","B Property and deception offences","B10 Arson","B19 Other fire related offences",197,3.282013964,3.375384571
2023,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",9437,157.220130841,161.692914708
2023,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",421,7.0138471,7.213385302
2023,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",72,1.199517794,1.233643092
2023,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",2496,41.58328352,42.766293855
2023,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",6249,104.108148524,107.069940024
2023,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",5326,88.730996806,91.255320943
2023,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",3285,54.727999344,56.284966071
2023,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",10147,169.048709086,173.858006309
2023,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",460,7.663585905,7.881608643
2023,"March","B Property and deception offences","B40 Theft","B45 Receiving or handling stolen goods",2919,48.630450559,50.013947021
2023,"March","B Property and deception offences","B40 Theft","B46 Fare evasion",2,0.033319939,0.034267864
2023,"March","B Property and deception offences","B40 Theft","B49 Other theft",4391,73.153925455,75.235094679
2023,"March","B Property and deception offences","B50 Deception & B60 Bribery","B51 Forgery and counterfeiting",1072,17.859487153,18.367574925
2023,"March","B Property and deception offences","B50 Deception & B60 Bribery","B53 Obtain benefit by deception",4593,76.519239266,78.696148909
2023,"March","B Property and deception offences","B50 Deception & B60 Bribery","B54 State false information",308,5.131270563,5.277251005
2023,"March","B Property and deception offences","B50 Deception & B60 Bribery","B56 Professional malpractice and misrepresentation",36,0.599758897,0.616821546
2023,"March","B Property and deception offences","B50 Deception & B60 Bribery","Other deception offences & B61 Bribery of officials",81,1.349457518,1.387848478
2023,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C11 Drug dealing & C99 Other drug offences",19,0.316539418,0.325544705
2023,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C12 Drug trafficking",2272,37.851450384,38.928293125
2023,"March","C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",677,11.278799256,11.599671851
