"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Alleged Offender Incidents","Rate per 100,000 population 10 years and older","Rate per 100,000 population 12 years and older"
2019,"March","C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",805,14.052404471,14.452659819
2019,"March","C Drug offences","C20 Cultivate or manufacture drugs","C22 Manufacture drugs & C23 Possess drug manufacturing equipment or precursor",141,2.461352833,2.53145967
2019,"March","C Drug offences","C30 Drug use and possession","C31 Drug use",129,2.251875996,2.316016294
2019,"March","C Drug offences","C30 Drug use and possession","C32 Drug possession",9968,174.005425799,178.961631151
2019,"March","D Public order and security offences","D10 Weapons and explosives offences","D11 Firearms offences",1390,24.264400267,24.955524408
2019,"March","D Public order and security offences","D10 Weapons and explosives offences","D12 Prohibited and controlled weapons offences",5837,101.893024718,104.795248899
2019,"March","D Public order and security offences","D10 Weapons and explosives offences","D13 Explosives offences",106,1.850378725,1.903083156
2019,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D21 Riot and affray",258,4.503751992,4.632032588
2019,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D22 Drunk and disorderly in public",7563,132.022776416,135.78318784
2019,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D23 Offensive conduct",1997,34.86043693,35.85336852
2019,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D24 Offensive language",545,9.513739673,9.784720002
2019,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D25 Criminal intent",101,1.76309671,1.813315083
2019,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D26 Disorderly conduct",186,3.246890971,3.339372331
2019,"March","D Public order and security offences","D30 Public nuisance offences","D31 Privacy offences",12,0.209476837,0.215443376
2019,"March","D Public order and security offences","D30 Public nuisance offences","D32 Hoaxes",61,1.064840587,1.095170496
2019,"March","D Public order and security offences","D30 Public nuisance offences","D33 Begging",149,2.601004057,2.675088588
2019,"March","D Public order and security offences","D30 Public nuisance offences","D34 Defamation and libel & D36 Other public nuisance offences",33,0.576061301,0.592469285
2019,"March","D Public order and security offences","D30 Public nuisance offences","D35 Improper movement on public or private space",697,12.16711294,12.513669433
2019,"March","D Public order and security offences","D40 Public security offences","D40 Public security offences",18,0.314215255,0.323165064
2019,"March","E Justice procedures offences","E10 Justice procedures","E11 Escape custody & E12 Fail to appear",40,0.698256123,0.718144587
2019,"March","E Justice procedures offences","E10 Justice procedures","E13 Resist or hinder officer",1273,22.222001108,22.85495149
2019,"March","E Justice procedures offences","E10 Justice procedures","E14 Pervert the course of justice or commit perjury",402,7.017474034,7.217353102
2019,"March","E Justice procedures offences","E10 Justice procedures","E15 Prison regulation offences",361,6.301761508,6.4812549
2019,"March","E Justice procedures offences","E10 Justice procedures","E19 Other justice procedures offences",684,11.9401797,12.280272443
2019,"March","E Justice procedures offences","E20 Breaches of orders","E21 Breach family violence order",11806,206.090294641,211.960374936
2019,"March","E Justice procedures offences","E20 Breaches of orders","E22 Breach intervention order",1552,27.092337564,27.864009987
2019,"March","E Justice procedures offences","E20 Breaches of orders","E23 Breach bail conditions",6997,122.142452279,125.62144193
2019,"March","E Justice procedures offences","E20 Breaches of orders","E29 Breach of other orders",926,16.164629243,16.625047196
2019,"March","F Other offences","F10 Regulatory driving offences & F20 Transport regulation offences","F10 Regulatory driving offences & F20 Transport regulation offences",141,2.461352833,2.53145967
2019,"March","F Other offences","F30 Other government regulatory offences","F30 Other government regulatory offences",101,1.76309671,1.813315083
2019,"March","F Other offences","F90 Miscellaneous offences","F90 Miscellaneous offences",89,1.553619873,1.597871707
2018,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",181,3.221806611,3.314024715
2018,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",12956,230.617273227,237.218255259
2018,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",1821,32.413866513,33.341651963
2018,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",14775,262.995539667,270.523288164
2018,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",1296,23.068847337,23.729149337
2018,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",1536,27.340856103,28.123436252
2018,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",73,1.299402666,1.336595603
2018,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",352,6.265612857,6.444954141
