title,url,format,wayback_url,retrieved,source_page_url,license
"Injury and Trauma Emergency Department and Hospitalization Statistics, 2023–2024",https://www.cihi.ca/sites/default/files/document/injury-trauma-emergency-dept-hospitalizations-2023-2024-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250823022205/https://www.cihi.ca/sites/default/files/document/injury-trauma-emergency-dept-hospitalizations-2023-2024-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Injury and Trauma Emergency Department and Hospitalization Statistics, 2022–2023",https://www.cihi.ca/sites/default/files/document/injury-trauma-emergency-dept-hospitalizations-2022-2023-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250823022219/https://www.cihi.ca/sites/default/files/document/injury-trauma-emergency-dept-hospitalizations-2022-2023-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
How Canada Compares: Results From the Commonwealth Fund’s 2024 International Health Policy Survey of Older Adults in 10 Countries — Data tables,https://www.cihi.ca/sites/default/files/document/cmwf-2024-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250928052135/https://www.cihi.ca/sites/default/files/document/cmwf-2024-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Health Workforce in Canada, 2023 — Quick Stats",https://www.cihi.ca/sites/default/files/document/health-workforce-quickstats-2023-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250823011612/https://www.cihi.ca/sites/default/files/document/health-workforce-quickstats-2023-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
How Canada Compares: Results From the Commonwealth Fund’s 2024 International Health Policy Survey of Older Adults in 10 Countries — Quick Stats,https://www.cihi.ca/sites/default/files/document/cmwf-2024-quick-stats-en.xlsx,xlsx,https://web.archive.org/web/20250925220154/https://www.cihi.ca/sites/default/files/document/cmwf-2024-quick-stats-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Health Workforce in Canada, 2019 to 2023: Overview — Data Tables",https://www.cihi.ca/sites/default/files/document/health-workforce-canada-2019-2023-overview-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250823011634/https://www.cihi.ca/sites/default/files/document/health-workforce-canada-2019-2023-overview-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Wait Times for Priority Procedures in Canada, 2008 to 2024 — Data Tables",https://www.cihi.ca/sites/default/files/document/wait-times-priority-procedures-in-canada-2025-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20251201085142/https://www.cihi.ca/sites/default/files/document/wait-times-priority-procedures-in-canada-2025-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Summary Statistics on Organ Transplants, Wait-Lists, and Donors, 2024",https://www.cihi.ca/sites/default/files/document/corr-transplant-wait-list-donor-stats-2024-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260718154452/https://www.cihi.ca/sites/default/files/document/corr-transplant-wait-list-donor-stats-2024-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Inpatient Hospitalization, Surgery and Newborn Statistics, 2023-2024",https://www.cihi.ca/sites/default/files/document/dad-hmdb-childbirth-2023-2024-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260109174012/https://www.cihi.ca/sites/default/files/document/dad-hmdb-childbirth-2023-2024-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Hospital Beds Staffed and In Operation, 2023–2024",https://www.cihi.ca/sites/default/files/document/beds-staffed-and-in-operation-2023-2024-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20251127190118/https://www.cihi.ca/sites/default/files/document/beds-staffed-and-in-operation-2023-2024-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Care for Children and Youth With Mental Disorders — Data Tables,https://www.cihi.ca/sites/default/files/document/care-children-youth-with-mental-disorders-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250504001959/https://www.cihi.ca/sites/default/files/document/care-children-youth-with-mental-disorders-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Induced Abortions Reported in Canada — Annual data tables,https://www.cihi.ca/sites/default/files/document/induced-abortions-canada-annual-data-tables-en.zip,zip,https://web.archive.org/web/20260520020737/https://www.cihi.ca/sites/default/files/document/induced-abortions-canada-annual-data-tables-en.zip,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Induced Abortions Reported in Canada in 2023,https://www.cihi.ca/sites/default/files/document/induced-abortions-reported-in-canada-2023-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260520020737/https://www.cihi.ca/sites/default/files/document/induced-abortions-reported-in-canada-2023-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Profile of Clients in Home Care, 2023–2024",https://www.cihi.ca/sites/default/files/document/home-care-quickstats-2023-2024-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260718165344/https://www.cihi.ca/sites/default/files/document/home-care-quickstats-2023-2024-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Hospitalization and Childbirth, 1995–1996 to 2023-2024 — Supplementary Statistics",https://www.cihi.ca/sites/default/files/document/hospital-childbirth-1995-2023-supplementary-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250901081430/https://www.cihi.ca/sites/default/files/document/hospital-childbirth-1995-2023-supplementary-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Prescribed Drug Spending in the Pharmaceutical Data Tool,https://www.cihi.ca/sites/default/files/document/prescribed-drug-spending-pharm-data-tool-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250814173642/https://www.cihi.ca/sites/default/files/document/prescribed-drug-spending-pharm-data-tool-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Prescribed Drug Use Among Seniors in the Pharmaceutical Data Tool,https://www.cihi.ca/sites/default/files/document/prescribed-drug-use-seniors-pharm-data-tool-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250820105350/https://www.cihi.ca/sites/default/files/document/prescribed-drug-use-seniors-pharm-data-tool-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Spending on High-Cost Drugs in the Pharmaceutical Data Tool,https://www.cihi.ca/sites/default/files/document/spending-high-cost-drugs-pharm-data-tool-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250820105411/https://www.cihi.ca/sites/default/files/document/spending-high-cost-drugs-pharm-data-tool-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Spending on Biologic Drugs in the Pharmaceutical Data Tool,https://www.cihi.ca/sites/default/files/document/spending-biologic-drugs-pharm-data-tool-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250820105425/https://www.cihi.ca/sites/default/files/document/spending-biologic-drugs-pharm-data-tool-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
