"description","location","notes","spaces","url","geo_local_area","lon","lat"
"Accessible Parking Space","East Side  7800 Cambie St",NA,1,NA,"Marpole",-123.116785,49.213719
"Accessible Parking Space - 8am-Noon Sundays","West Side  3200 Pine St",NA,1,NA,"Shaughnessy",-123.143699,49.256737
"Accessible Parking Spaces","West Side  100 Princess Av",NA,2,NA,"Strathcona",-123.091479,49.2832491
"Accessible Parking Space","West Side  5400 Balsam St",NA,1,NA,"Arbutus Ridge",-123.161317,49.23678
"Metered Accessible Parking Space","West Side  700 Hornby St",NA,1,NA,"Downtown",-123.121647,49.282822
"Metered Accessible Parking Space","West Side  2500 Main St",NA,1,NA,"Mount Pleasant",-123.101146,49.262189
"Metered Accessible Parking Space","South Side 2400 W 41st Av",NA,1,NA,"Arbutus Ridge",-123.161686,49.234602
"Metered Accessible Parking Space","West Side  3900 Main St",NA,1,NA,"Riley Park",-123.10113,49.250122
"Accessible Parking Space","West Side  1000 Bidwell St",NA,1,NA,"West End",-123.137738,49.28796
"2HR Accessible Parking Space","South Side 1800 Barclay St",NA,1,NA,"West End",-123.1378,49.290176
"2HR Accessible Parking Space","East Side  5800 Victoria Drive",NA,1,NA,"Victoria-Fraserview",-123.065496,49.230671
"Metered Accessible Parking Space","West Side  6100 Fraser St",NA,1,NA,"Sunset",-123.090801,49.228809
"Metered Accessible Parking Space","East Side  6300 Fraser St",NA,1,NA,"Sunset",-123.090656,49.226714
"Metered Accessible Parking Space","North Side 3300 Kingsway",NA,1,NA,"Renfrew-Collingwood",-123.032633,49.232604
"2HR Accessible Parking Space","South Side 3500 W 41st Av",NA,1,NA,"Dunbar-Southlands",-123.18236,49.234625
"Metered Accessible Parking Space","East Side  3400 Cambie St",NA,1,NA,"Riley Park",-123.115047,49.254719
"2HR Accessible Parking Space","South Side 1500 W 66th Av",NA,1,NA,"Marpole",-123.140916,49.211328
"2HR Accessible Parking Space","East Side  4200 Dunbar St",NA,1,NA,"Dunbar-Southlands",-123.185092,49.248607
"Metered Accessible Parking Space","West Side  1100 Homer St",NA,1,NA,"Downtown",-123.121942,49.276219
"2HR Accessible Parking Space","West Side  1200 Raymur Av",NA,1,NA,"Strathcona",-123.082866,49.274061
"Metered Accessible Parking Space","South Side 100 E 13th Av",NA,1,NA,"Mount Pleasant",-123.101613,49.259286
"2HR Accessible Parking Space","East Side  5800 Cambie St",NA,1,NA,"Oakridge",-123.116032,49.231757
"2HR Accessible Parking Space","South Side 100 Alexander St",NA,1,NA,"Downtown",-123.101803,49.283801
"2HR Accessible Parking Space","East Side  400 Moberly Road",NA,1,NA,"Fairview",-123.118021,49.2687208
"Metered Accessible Parking Space","North Side 1100 Davie St",NA,1,NA,"West End",-123.132059,49.281015
