"count","geo_local_area","lon","lat"
1,"Kitsilano",-123.169332102001,49.264343073988
1,"Downtown",-123.122471590522,49.2786964753448
2,"Hastings-Sunrise",-123.043794023041,49.2701437685188
2,"Kitsilano",-123.170580074148,49.2643659571041
1,"Mount Pleasant",-123.104305356489,49.2662134404944
10,"Renfrew-Collingwood",-123.039583840783,49.2590007623709
11,"Downtown",-123.10272097118,49.2810897200845
1,"Mount Pleasant",-123.110737112545,49.2633110084254
7,"Downtown",-123.112674372564,49.2828948874425
1,"Victoria-Fraserview",-123.065622658527,49.2143598990621
1,"Kensington-Cedar Cottage",-123.083836522688,49.2560667337885
1,"Downtown",-123.105412264749,49.2804759029582
1,"Grandview-Woodland",-123.070414005015,49.2662389842274
1,"Victoria-Fraserview",-123.065331437766,49.2260067382212
1,"Riley Park",-123.105616824476,49.2564099174205
7,"Mount Pleasant",-123.101625033933,49.2612970257784
1,"Downtown",-123.129713977561,49.2777550069668
1,"Kitsilano",-123.165984214737,49.2579613666948
1,"Kitsilano",-123.166282448254,49.2579640861844
1,"Mount Pleasant",-123.100452894614,49.2577430710156
2,"Strathcona",-123.095667180315,49.2819469709986
6,"Kensington-Cedar Cottage",-123.070314810532,49.2602551552415
6,"West End",-123.132776239096,49.2819666259752
1,"Mount Pleasant",-123.104254810652,49.2685274113637
2,"Fairview",-123.142497509364,49.2592222682385
1,"Renfrew-Collingwood",-123.040951681234,49.2360827984233
1,"Grandview-Woodland",-123.07247433569,49.2693538178174
1,"Renfrew-Collingwood",-123.038280410975,49.2587016070672
4,"Kensington-Cedar Cottage",-123.066232500155,49.2453450014917
1,"Kensington-Cedar Cottage",-123.064333856643,49.2444123690995
11,"Kitsilano",-123.152543518011,49.2641151238236
1,"Kitsilano",-123.164629992893,49.2578018581019
2,"Riley Park",-123.101595418033,49.2465603252984
1,"West End",-123.13174984386,49.2797296290558
1,"Kitsilano",-123.168503830986,49.2689908118282
6,"Kensington-Cedar Cottage",-123.076627417756,49.2487631218209
1,"Kensington-Cedar Cottage",-123.076636551506,49.2404598305742
1,"Mount Pleasant",-123.09970060241,49.2568420692164
7,"Downtown",-123.119828459045,49.2809647099481
1,"Arbutus Ridge",-123.155803195791,49.2418543562378
2,"Kensington-Cedar Cottage",-123.089926048044,49.2428378928334
3,"Strathcona",-123.099225713231,49.2809238719075
1,"Arbutus Ridge",-123.154132632134,49.2460635355842
1,"Sunset",-123.091152418676,49.2251967394407
1,"Fairview",-123.141723409423,49.2673467209894
2,"Kitsilano",-123.153601508783,49.2684018170151
3,"Fairview",-123.124431953972,49.2636558991118
2,"Sunset",-123.091326758083,49.2184673746152
1,"Renfrew-Collingwood",-123.042235082557,49.2448265824577
1,"Hastings-Sunrise",-123.049700310226,49.2691388105244
2,"Hastings-Sunrise",-123.052879706193,49.281413696238
1,"Sunset",-123.10170802464,49.2129084323544
3,"Kerrisdale",-123.156085703819,49.2311914001777
3,"Strathcona",-123.093706266568,49.2721074142403
10,"Kitsilano",-123.17087091833,49.2643709244724
10,"Strathcona",-123.099221698491,49.2809787459442
10,"Strathcona",-123.099266355555,49.2811425817493
1,"Victoria-Fraserview",-123.062416637795,49.207222269448
19,"Downtown",-123.100627260357,49.2765238359297
2,"Renfrew-Collingwood",-123.032577455358,49.2379865456263
1,"Mount Pleasant",-123.089412467795,49.2663886213734
1,"Mount Pleasant",-123.089554184231,49.2663894111394
1,"Mount Pleasant",-123.090099472235,49.2663939345737
1,"Mount Pleasant",-123.090514589151,49.2663972082022
1,"Mount Pleasant",-123.089278740722,49.2663972702216
1,"Kensington-Cedar Cottage",-123.063341535355,49.2516616866382
1,"West Point Grey",-123.187362812937,49.269285201159
8,"Mount Pleasant",-123.100609891029,49.2616153731291
1,"Strathcona",-123.090538508538,49.2818495027595
1,"Kitsilano",-123.152699596328,49.258477798187
1,"Kitsilano",-123.152872218814,49.258480349434
2,"Downtown",-123.127562840853,49.274589638616
2,"Renfrew-Collingwood",-123.024233346325,49.2450023376084
9,"Strathcona",-123.100325699954,49.269341590944
2,"Strathcona",-123.093551657705,49.2833254417293
1,"Fairview",-123.116363765414,49.2597258169931
3,"Mount Pleasant",-123.100603579478,49.2633041658743
5,"Mount Pleasant",-123.100618166435,49.2616972223228
1,"Downtown",-123.101095382575,49.2825688184903
1,"Downtown",-123.101411616751,49.2825757375292
1,"Downtown",-123.101516121287,49.2825783443191
4,"Downtown",-123.110050330193,49.2843487877882
4,"Grandview-Woodland",-123.070111317664,49.2643853650993
2,"Kitsilano",-123.149237201142,49.2727059364403
3,"Fairview",-123.115675482761,49.2647390881092
4,"Strathcona",-123.077965550316,49.2832310909121
2,"Grandview-Woodland",-123.069131945241,49.271047394271
1,"Grandview-Woodland",-123.070228850774,49.2782052648677
1,"West End",-123.128150763655,49.2849702193402
1,"Mount Pleasant",-123.088212791473,49.2627613550632
1,"Mount Pleasant",-123.088212791473,49.2627613550632
9,"Strathcona",-123.098294796375,49.2797143571517
2,"Mount Pleasant",-123.103579174902,49.2652935337401
1,"Fairview",-123.126841404,49.2574357347978
3,"Kensington-Cedar Cottage",-123.065878701226,49.2354359204565
2,"Kitsilano",-123.154124568346,49.2684101246814
7,"Hastings-Sunrise",-123.053908682339,49.2814134906241
10,"Mount Pleasant",-123.100701663725,49.2603404830414
1,"Downtown",-123.122508356606,49.279202307457
8,"Downtown",-123.126389283253,49.2774194109963
