"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"6r9j-qrwz","DSNY Disposal Facilities Used by Year","dataset","A listing of the facilities used by year to handle NYC Department of Sanitation (DSNY) collected waste (refuse/trash). It includes information on owner, type, tonnage, price per ton, and total loads.","2025-06-18T16:02:04.000Z",2578,"City Government"
"fpv2-r9br","DSNY Districts With Disposal Vendor Assignments","dataset","The vendors used to discard various materials (refuse, paper, metal/glass/plastic, bulk metal, and organics) collected in DSNY districts.","2026-01-28T22:03:59.000Z",2572,"City Government"
"6m3u-8rbh","Upcoming contracts to be awarded (CAP)","dataset","New school projects (Capacity)  that will complete design within the next 6 months and will be available for bid.","2026-05-08T19:00:40.000Z",2571,"Housing & Development"
"jpcp-ic7c","Citywide Mobility Survey - Main Survey 2018","dataset","The Citywide Mobility Survey (CMS) is a mixed-methodology survey of New York City residents' travel choices, behaviors, and perceptions. The Main Survey dataset provides person-level data.","2026-03-24T15:04:13.000Z",2571,"Transportation"
"uu87-uz8m","Intimate Partner Homicide Suicide in New York City (2010-2018)","dataset","The dataset contains count data for the number of intimate partner homicides and homicide-suicides that occurred in New York City from 2010 through 2018. The report provides information on the borough","2024-01-31T18:54:09.000Z",2564,"Public Safety"
"3ss8-m844","Active Projects","dataset","List of currently active projects. Project IDs are another way of referring to FMS IDs for an active project.  This project identifier provides a critical way of checking funding and procurement detai","2025-10-14T16:56:29.000Z",2555,"Housing & Development"
"a9xv-vek9","Sidewalk Centerline","map","Please see the following link for additional documentation- https://github.com/CityOfNewYork/nyc-planimetrics/blob/master/Capture_Rules.md.","2024-02-02T18:45:30.000Z",2555,NA
"tzuk-eq2f","Cool It! NYC 2020 - Spray Showers","dataset","This dataset represents amenities activated as a part of Cool It! NYC, a Citywide plan to increase the amount of cooling features available to the public during heat emergencies, particularly in neigh","2022-05-09T22:26:34.000Z",2550,NA
"u42f-se8e","Lottery Applications for Tobacco Retail Dealer (TRD) and Electronic Cigarette Dealer Licenses (ECD)","dataset","The Department of Consumer and Worker Protection (DCWP) conducts a semi-annual review of Tobacco Retail Dealer licenses and Electronic Cigarette Dealer Licenses in each Community District to determine","2023-10-27T19:01:16.000Z",2548,"Business"
"nd82-bi9f","Procurement By Industry","dataset","Summary table of procurement in the fiscal year grouped by agency and industry","2020-02-08T01:19:32.000Z",2546,"City Government"
"97zg-4p9t","Grant Applications Tracking Table","dataset","The Grant Applications Tracking Table tracks grant applications received by the LPC and their outcomes. 

LPC's Historic Preservation Grant Program (HPGP) offers grants ranging from $10,000 to $30,0","2025-06-30T20:20:22.000Z",2541,"Housing & Development"
"ruu9-egea","School Zones 2024-2025 (High School)","dataset","Data is used to identify the zoning for the High School grades.","2024-11-26T23:10:11.000Z",2538,"Education"
"c292-vzrn","Office of Labor Policy & Standards Enforcement Matters (Historical)","dataset","The Department of Consumer and Worker Protection's Office of Labor Policy & Standards (OLPS) protects workers and enforces local labor laws that help ensure a fair workplace for all persons working in","2025-04-22T19:24:15.000Z",2534,"Business"
