"zcta5","arealand","areawater","centlat","centlon","intptlat","intptlon"
"11359","648383","0","+40.7916054","-073.7767241","+40.7916054","-073.7767241"
"11360","3569768","0","+40.7804186","-073.7818380","+40.7804186","-073.7818380"
"11361","4437987","49214","+40.7639052","-073.7729607","+40.7641909","-073.7727748"
"11362","5379030","39269","+40.7589855","-073.7358491","+40.7602038","-073.7324174"
"11363","2239195","34217","+40.7725832","-073.7464715","+40.7723479","-073.7462919"
"11364","6498280","0","+40.7462507","-073.7560621","+40.7462507","-073.7560621"
"11365","6442794","46201","+40.7398361","-073.7950240","+40.7396342","-073.7944896"
"11366","3946393","0","+40.7311205","-073.7804580","+40.7311205","-073.7804580"
"11367","4949130","0","+40.7304740","-073.8227486","+40.7304740","-073.8227486"
"11368","6821041","99467","+40.7496135","-073.8526036","+40.7497368","-073.8530446"
"11369","2807334","0","+40.7634909","-073.8722195","+40.7634909","-073.8722195"
"11370","3996041","0","+40.7755503","-073.8876318","+40.7653925","-073.8942155"
"11371","2837110","0","+40.7744111","-073.8732723","+40.7744111","-073.8732723"
"11372","1913029","0","+40.7517193","-073.8836703","+40.7517193","-073.8836703"
"11373","3915487","0","+40.7389446","-073.8785609","+40.7389446","-073.8785609"
"11374","2445084","0","+40.7264570","-073.8614588","+40.7264570","-073.8614588"
"11375","6269571","556542","+40.7231465","-073.8436965","+40.7229750","-073.8431785"
"11377","6557544","0","+40.7447750","-073.9051603","+40.7447750","-073.9051603"
"11378","6306169","122157","+40.7249091","-073.9102489","+40.7247442","-073.9096392"
"11379","5738388","0","+40.7170611","-073.8805189","+40.7170611","-073.8805189"
"11385","9363087","82983","+40.7010683","-073.8901355","+40.7006472","-073.8894227"
"11411","3054399","0","+40.6940638","-073.7362653","+40.6940638","-073.7362653"
"11412","4260491","0","+40.6980199","-073.7590809","+40.6980199","-073.7590809"
"11413","7812634","43490","+40.6699932","-073.7511725","+40.6711705","-073.7520631"
"11414","5979139","178512","+40.6581444","-073.8448035","+40.6576043","-073.8448040"
"11415","1450699","0","+40.7080854","-073.8280442","+40.7080854","-073.8280442"
"11416","1708434","0","+40.6845860","-073.8497132","+40.6845860","-073.8497132"
"11417","2883937","0","+40.6764060","-073.8445955","+40.6764060","-073.8445955"
"11418","4298205","0","+40.7003154","-073.8360186","+40.7003154","-073.8360186"
"11419","2917756","0","+40.6886125","-073.8230616","+40.6886125","-073.8230616"
"11420","5459080","0","+40.6735016","-073.8177023","+40.6735016","-073.8177023"
"11421","3327832","0","+40.6940354","-073.8586591","+40.6940354","-073.8586591"
"11422","5436200","137648","+40.6606182","-073.7364883","+40.6607865","-073.7375702"
"11423","3645124","0","+40.7156688","-073.7682985","+40.7156688","-073.7682985"
"11424","49079","0","+40.7139684","-073.8280870","+40.7139684","-073.8280870"
"11426","3555218","0","+40.7364067","-073.7223571","+40.7364067","-073.7223571"
"11427","4062875","0","+40.7309425","-073.7457159","+40.7309425","-073.7457159"
"11428","2154074","0","+40.7209926","-073.7422028","+40.7209926","-073.7422028"
"11429","3420397","0","+40.7095558","-073.7384796","+40.7095558","-073.7384796"
"11430","18446520","904474","+40.6469960","-073.7870812","+40.6469645","-073.7872953"
"11432","5240658","0","+40.7149339","-073.7929549","+40.7149339","-073.7929549"
"11433","3964952","0","+40.6980905","-073.7867521","+40.6980905","-073.7867521"
"11434","8405425","106288","+40.6768355","-073.7762296","+40.6778566","-073.7770725"
"11435","3912570","0","+40.7010799","-073.8096404","+40.7010799","-073.8096404"
"11436","2065627","0","+40.6758637","-073.7966472","+40.6758637","-073.7966472"
"11439","385423","0","+40.7219354","-073.7945866","+40.7219354","-073.7945866"
"11451","185278","0","+40.7011879","-073.7957783","+40.7011879","-073.7957783"
"11580","10069300","38959","+40.6749262","-073.7036923","+40.6749000","-073.7021543"
"11691","6949954","254400","+40.6016110","-073.7617800","+40.6020960","-073.7617938"
"11692","2631023","255912","+40.5935694","-073.7919175","+40.5941540","-073.7919860"
"11693","2560690","3120","+40.5965410","-073.8166917","+40.5916616","-073.8096677"
"11694","4525516","0","+40.5753139","-073.8512354","+40.5753139","-073.8512354"
"11697","5302645","0","+40.5571317","-073.9137216","+40.5571317","-073.9137216"
