"community","category","crime_count","year","month"
"02E","Assault (Non-domestic)","6","2023","7"
"01F","Theft OF Vehicle","1","2018","7"
"09K","Break & Enter - Commercial","1","2018","10"
"02E","Violence  'Other' (Non-domestic)","1","2019","5"
"01B","Theft FROM Vehicle","1","2019","6"
"02C","Break & Enter - Commercial","1","2020","12"
"09O","Break & Enter - Commercial","1","2022","5"
"06B","Violence  'Other' (Non-domestic)","1","2021","11"
"09K","Break & Enter - Commercial","1","2019","8"
"09K","Break & Enter - Commercial","1","2019","4"
"02E","Violence  'Other' (Non-domestic)","1","2019","11"
"02F","Break & Enter - Commercial","1","2022","6"
"05D","Theft OF Vehicle","1","2023","7"
"02E","Theft FROM Vehicle","1","2021","6"
"05F","Theft OF Vehicle","2","2024","10"
"02E","Break & Enter - Dwelling","1","2024","10"
"02F","Break & Enter - Other Premises","1","2019","5"
"01K","Theft OF Vehicle","1","2024","3"
"01B","Break & Enter - Commercial","1","2020","8"
"05D","Break & Enter - Commercial","1","2023","10"
"02E","Violence  'Other' (Non-domestic)","1","2021","10"
"02E","Violence  'Other' (Non-domestic)","1","2024","3"
"01I","Theft FROM Vehicle","1","2024","7"
"02E","Assault (Non-domestic)","8","2023","4"
"02E","Violence  'Other' (Non-domestic)","2","2022","3"
"02E","Violence  'Other' (Non-domestic)","1","2023","10"
"09O","Theft OF Vehicle","2","2023","12"
"01K","Assault (Non-domestic)","1","2020","6"
"02E","Assault (Non-domestic)","1","2023","9"
"01K","Theft FROM Vehicle","1","2018","4"
"03W","Break & Enter - Commercial","1","2020","4"
"02E","Assault (Non-domestic)","4","2020","2"
"01K","Theft OF Vehicle","1","2024","8"
"09O","Break & Enter - Commercial","1","2021","5"
"01K","Violence  'Other' (Non-domestic)","1","2024","3"
"03W","Break & Enter - Commercial","1","2022","8"
"06A","Break & Enter - Commercial","1","2020","8"
"02E","Assault (Non-domestic)","5","2021","1"
"02C","Theft FROM Vehicle","1","2023","3"
"02E","Assault (Non-domestic)","2","2023","10"
