"registryid","title_of_work","artistprojectstatement","type","status","sitename","siteaddress","primarymaterial","url","photourl","ownership","neighbourhood","locationonsite","geo_local_area","descriptionofwork","photocredits","yearofinstallation","lon","lat"
204,"All Our Knowledge has its Origins in Our Perceptions","A library is an ordered resource for accessing information to further one's knowledge and to enhance one's learning. The route taken to that information can guide the thought process and determine the end conclusions. Leonardo realized this a few centuries ago; Our concept is to challenge users of the facility to rethink their thought processes. 
The most opportune time to accomplish this is before entering the Library - confronting the viewer by having them walk through the piece - and perhaps encouraging them to leave their previous perceptions at the door.
The format in presenting the concept is another Leonardo da Vinci exercise - a geometric discovery of form, mathematics and order. Our interpretation of the exercise challenges the viewer's perceptions: first, by engaging the individual in a visual puzzle that defines the various elements of the geometry in a manner that also juggles their perceptions; and secondly, by making visual references to the cosmos that will take the viewer beyond the physical piece to consider the mysteries of the mind, universe, and of course, the search for truth.
In locating the piece at, and as the entrance, it emphasizes Public Art as a functioning componenet of life and architecture - the concept challenging one's thought process and the physical statement aiding in the flow and function of the ordered architecture.","Site-integrated work","In place","Renfrew Public Library","2969 E. 22nd Avenue","copper, aluminum, glass","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=204",NA,"City of Vancouver","Renfrew-Collingwood","Interior, front door","Renfrew-Collingwood",NA,NA,"1995",-123.042243,49.250885
205,"Fountain of Time","""In reference to the library, the theme can be read as fragments which fit together like a jigsaw puzzle to form a larger picture much as one accesses the library in quest of materials to fit in gaps of knowledge or time.
The birth of the mechanical clock circa 1,000 AD was a technological innovation that, as Lewis Mumford pointed out in ""Technics and Civilization"" made possible the mechanical clock as a simile for his paradigm of the workings of nature, a paradigm cited in recent years as contributing to the world's current ecological state: hence the ""ruins"" of a clock face. 
Yet what is watered grows; thus even an ancient ruins can initiate new life, as the unearthing of sculpture from an ancient Greece was seminal in issuing forth that springtime in Italy known as the Renaissance. This is not a fountain of youth but of time, old time reborn in the ever flowing spring of records of human endeavour.
With the advent of the millenium at hand, reflections on the passing of time increase. The numbers observable in Fountain of Time (five, six, seven) reflect a countdown to the millenium: '95, '96 '97. In this context the fountain is a portrait of a certain reality of our time. Yet this particular reality (that of the twentieth century drawing to a close, and what that brings to mind), is only one of many many realities, relevent to those following the Gregorian calendar rather than for example the Islamic, Tibetan or Mayan calendars. This notion of ""mutable reality"" is a familiar theme in my work, which seeks to explore the boundaries of realism and representation:  Time... History... Motion... Imagination... Reflection…","Fountain or water feature","In place","Vancouver Public Library","350 West Georgia Street","Stone mosaic","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=205",NA,"City of Vancouver","Downtown","Front plaza","Downtown","Water cascades down a curved 3m high x 15m long wall of semi-circular tiles in a fish scale pattern into a tiled pool with designs related to time: a clock face and ruins.","Maxime Cyr-Morton","1995",-123.11628,49.27948
208,"Password","This piece is based on, and dependent upon, a part of the mechanical systems within the structure of the building.  The work consists of a series of four four-letter word groups mounted within the 20 X 92"" exhaust airduct vent grills exiting from the underground parking ventilation system... The vents face out onto the pedestrian sidewalk that runs along Pacific Boulevard... The front faces of the letters are highly polished aluminum and are visible only for the moments that they are exactly perpendicular to one's direction of view.  Rotating slowly in the existing flow of air, each block is independent of the next, causing a randomly changing array of letters, occasional words, and sometimes sentences to be swept into the pedestrian world.  The word groupings are derived from four subject areas:  active : work, rest, play; architectural: post, beam, wall; social space: city, park, yard; and weather: wind, rain, smog. ...""  (from artist proposal)","Site-integrated work","In place","Governor's Tower, Yaletown Edge","1300 block Of Pacific Boulevard","Stainless steel","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=208",NA,"Privately owned","Downtown","Installed in three sections of the retaining wall adjacent to sidewalk","Downtown","Four sets of 4 letters rotate to form random words. The letters are installed in the 3 exhaust vents from the underground parkade and turn with the outflow of the exhaust fans.","Skai Fowler","1994",-123.124797,49.27333
209,"Street Light","""An aspect of the work is meant to produce a light and shadow play… The bronze panels cast shadows of the captured (historical) images… References in the work are hybrids[influenced by]: historic railway trestles, the Roundhouse turntable, a railway hand-car, billboard-like sign supports which were on the south shore of False Creek until the 1950's, drive-in movie theatre screens..."" (From press release)  Some of the residents in the condominiums next to the art work started a campaign against the piece when it was installed, calling it a ""malignant monstrosity."" The piece had its supporters and detractors and in the end City Council supported the public art selection process and the work has survived the tests of time.","Sculpture","In place","Marinaside Crescent","Davie Circle at False Creek","Bronze, glass","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=209",NA,"City of Vancouver","Downtown","S.W. of circle","Downtown","Six 12-metre high bronze I-beam towers each hold up an image from the history of the area cut into a metal plate. The plates cast the shadow of the image onto the street. Texts etched in the limestone bases refer to the events relevant to the site. The positioning of the panels has been carefully calculated so that their optimum contrast and focus on the street is the month, date, and time that the event ocurred. For example, if the sun is shining just before noon on June 17,  the projected image of Vancouver's ""Great Fire"" will be visible on the promenade below.","Barbara Cole","1997",-123.119515,49.272805
213,"Welcome to the Land of Light","""Welcome to the Land of Light is a contemporary monument to the relationship between those who have lived on the False Creek waterfront and those who will arrive in the future to call this area their home. For the artist, this public art project is about the concept of home, the building of community, and with the aid of interactive fibre-based technology, the creation of a new world to experience…"" (Press release)
                                                                                               …""the juxtaposition of English and Chinook Jargon functions as a metaphor for the ongoing development of intercultural communications in this region. Chinook Jargon is a 19th century linga franca that resulted out the need for cross-cultural trade. Most of the approximately 500 word vocabulary of this language can be traced to the dialect of the Columbia River Chinook Tribe in Oregon, with influences of English, French, and Nootkan (Nuu-chah-nulth). At its peak 100,000 to one million people spoke the language from the Pacific coast to the Rocky Mountains, from Northern California to the Alaskan panhandle. Like any pidgin, Chinook Jargon was dynamic and flexible, absorbing different cultural systems of naming as more and more peoples from around the world came to settle on the West Coast. In the first half of the 20th century, the jargon fell out of common use, replaced by the English language.""  (From the Artist's proposal)","Site-integrated work","In place","Yaletown","False Creek shoreline walk at the foot of Drake Street","Aluminum lettering; fibre optic lighting","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=213",NA,"City of Vancouver","Downtown","Shoreline walk guard railings","Downtown","Aluminum letters spelling out phrases in Chinook (an early coastal trading language) and English are placed along the railing of the sea wall in two parallel lines. Coloured light pulses through an inset fibre-optic cable in the sidewalk directly below the letters.","Joyce Rautenberg","1997",-123.120188,49.271158
221,"Southlands Salmon Wall","The Salmon Wall was created as a means of fostering understanding between the Musqueam and Southlands communities. It was also envisioned as a process to encourage respect for the Musqueam people and their traditions in the non-Native community. The project was initiated by artist Alison Diesvelt who, together with the Southlands principal, identified Musqueam artist Debra Sparrow as a partner. Sparrow creates traditional weavings and indicated that she was interested in working on the community art piece. Out of community consultations and workshops, a mural was created with colours and patterns drawn from Musqueam visual traditions. Many community members participated in painting the school of salmon along the south wall near the main entrance and a community salmon barbecue was held to celebrate its completion. - Parks Board web site","Mural","In place","Southlands Elementary School","5351 Camosun Street",NA,"https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=221",NA,"Vancouver School Board","Dunbar-Southlands","Front wall of school","Dunbar-Southlands","This mural is a school of painted salmon, each one unique.","Skai Fowler","1995",-123.197495,49.237801
222,"Bird Feeders",NA,"Site-integrated work","In place","Woodland Drive Bridge","Over Grandview Cut",NA,"https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=222",NA,"City of Vancouver","Grandview-Woodland","Bridge railings","Grandview-Woodland","Four galvanized bird feeders sited on railing posts.","Skai Fowler","1996",-123.0735,49.26461
224,"Healing the Cut - Bridging the Gap","The history of the piece was actually quite interventionist, in that Janis and I were atempting to promote an environmentally sound alternative to a proposed freeway (now cancelled) which was to have gone through the Grandview Cut. The City had originally planned a vertical concrete wall at the site to accomodate future freeway construction and ""healing the Cut - Bridging the Gap"" was designed to prevent that from hapenning. Golden Willow, Cottonwood, Black Locust, and Butterfly Bush were planted to stabilize erosion which started after the bridge and the condominium unit on top of the ravine were constructed. The nesting birds would bring in the seeds of other plants in their droppings. Eventually the Engineering Dept. was won over by our ecological approach.","Site-integrated work","In place","Victoria Drive Bridge","Over Grandview Cut between Broadway and 10th Avenue","Vegetation","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=224",NA,"City of Vancouver","Kensington-Cedar Cottage","Centre, west side","Kensington-Cedar Cottage","Nesting boxes, planting, and a telescope in an alcove of Victoria Dr. Bridge",NA,"1996",-123.066068,49.261805
225,"Wind Swimmer","Wind Swimmer was inspired by the artist's meeting with an older man who swam regularly off Stanley Park.  Taylor decided to build him a mate to swim along with him.  The prototype was made in 1993 for the Artropolis exhibition and installed in Stanley Park, but it was smashed by a log. The Parks Board pursued a second opportunity and a donor was found (Mary and Herb Auerbach).  The current Wind Swimmer was installed at Kits beach in 1996. The mechanism is specially engineered so that at winds of more than 55mph it turns sideways and slows down. (Guddrun Will, Vancouver Courier, May 19, 1996) Wind Swimmer was redesigned in 1999.","Sculpture","In place","Kitsilano Pool","Cornwall Street at N. Foot of Yew","Wood, steel, aluminum, lead, bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=225",NA,"City of Vancouver","Kitsilano","Upper deck","Kitsilano","This wind sculpture is a woman in a bathing suit who has articulated limbs that allow her to swim through the air. The speed of her movements is controlled by a propeller and the local wind currents at Kitsilano beach.","Ken Mayer","1996",-123.157342,49.273272
227,"Machina Metronoma (Shaughnessy Neighbourhood)","These works were conceptualized as ""a series of modern column capitals....decorated with iconography celebrating self-propelled technology and local history.  Each capital comprises one of fourteen ""Stations of the Crossings....""","Sculpture","In place","Ridgeway Greenway","37th at Granville","Fibreglass and steel","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=227",NA,"City of Vancouver","Shaughnessy","Poles at crossings","Shaughnessy","There are seven sculptures in the Metronoma series, mounted atop the 12-ft high cyclist-activated traffic signal poles. This series of sculptures is located at three intersections along 37th Avenue Ridgeway Greenway at Granville, Cambie, and Fraser Streets. Information about the other pieces can be found at ""Machina Metronoma (South Cambie neighbourhood)"" and  ""Machina Metronoma (Kensington-Cedar Cottage neighbourhood)"".
These pole sculptures are variations of whimsical gizmos with individual iconic objects representing activities such as skating and cycling which happen along the Greenways route.  The sculptures have wind-catching hoods and counterbalanced panels which cause them to move back and forth like a metronome.   Granville Street and 37th Avenue, SW corner:  ""Machina Metronoma:  Even with Modern miniaturized technology, it is still pretty hard to put eighty pounds into a tire"" (icon:  lightweight air pump).   On the NE corner:  ""Machina Metronoma:  All Bicycles Weigh Fifteen Kilograms:  A Five Kilogram Bicycle Needs a Ten Kilogram Lock.  A Ten Kilogram Bicycle Needs a Five Kilogram Lock.  A Fifteen Kilogram Bicycle Doesn't Need a Lock"" (icon:  reinforced bicycle lock).","artist","1997",-123.139622,49.238059
238,"Placed Upon the Horizon (Casting Shadows)","""The statement ""Placed Upon the Horizon (Casting Shadows)"" is a sculpture by American artist Lawrence Weiner.  Since the 1960's, Weiner has made sculptures which can exist in three separate states: as conceptual proposals described in language; as objects made of materials somehow related to the place in which they are installed; and as objects accompanied by a statement describing them.  The Vancouver Art Gallery's sculpture is made of cedar (a ""material of the region"") and is placed in a public space where it can be seen by many other people than those who visit art galleries.""  (From artwork description issued by the VAG)","Relief","In place","Vancouver Art Gallery","750 Hornby Street","Yellow cedar","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=238",NA,"Vancouver Art Gallery","Downtown","Over doors facing Robson Street","Downtown","A  text in yellow cedar (Placed Upon the Horizon (Casting Shadows) is located on the south facade of the VancouverArt Gallery above the columns.","Sahar Issapour","1990",-123.121271,49.282599
257,"Banners on Broadway","Banners on Broadway is an ongoing project. Project goals were: to get people active in the community, to build bridges between people, to acknowledge important people through portraitaure, to build pride, to beautify Broadway, to engage neighbourhoods in the theme of The people who we care for-the people who care for us.","Two-dimensional artwork","No longer in place","Broadway (Mount Pleasant)","Multiple (Mount Pleasant)",NA,"https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=257",NA,"City of Vancouver",NA,"East from Guelph Street to Victoria Drive",NA,"Colourful banners are hung in pairs from the lamp standards along Broadway from Guelph Street to Victoria Drive. The banner designs are developed through image-making workshops with various community groups.  The artist establishes the basic design into which the drawings are incorporated.",NA,"1998",NA,NA
273,"Three Herons",NA,"Sculpture","In place","Ridgeway Greenway","37th & Knight","Aluminum","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=273",NA,"City of Vancouver","Kensington-Cedar Cottage","Corners","Kensington-Cedar Cottage","Bent aluminum 3-dimensional forms in the shape of herons which sit atop 12' poles along the bike path.","Barbara Cole","1998",-123.077085,49.236852
277,"Converging Lines","""Electrical poles are a common sight in everyday life, vital to our communication and support systems.  Choosing this element to be the consistent visual object preserves the visual rhythm of the neighbourhood....The circles create a meandering horizontal line between viewer and poles.... ""","Site-integrated work","In place","Ridgeway Greenway","37th at Ross & at Colluden","Steel","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=277",NA,"City of Vancouver","Kensington-Cedar Cottage",NA,"Kensington-Cedar Cottage","""Clothes line"" sculpture installations at each street closure",NA,"1998",-123.082243,49.236477
278,"Uncoverings","Uncoverings is ""a series of four textured glass and stainless steel sidewalk installations.  Each reveals to the passerby the nature of hidden systems of the City.  The piece includes evocative text and a subsurface structure that allows for the collection of fresh air and rainwater, the release of water vapour from vent pipes under the ground, and a connection into the City's streetlighting infrastructure.  Each work operates on an individual, site-specific level as well as being part of collective, interconnected network.""  (the artists)","Site-integrated work","In place","Multiple","Four different sites:  Beatty & Robson, Burrard & Dunsmuir, Burrard & Georgia, Burrard & Smithe","Glass","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=278",NA,"City of Vancouver","Downtown","All four projects are flush with sidewalk near curbs and incorporate Central Heat vapour outlets",NA,"Round glass and steel covers are inset into the sidewalk over the vapour outlets of an underground heating system.  They are lit from underneath at night and steam may be seen to escape around them. The words ""collected/dispersed"" and one other site-specific word is embossed on the glass at each site. The words refer to the systems of exchange in the underground heating plant as well as the communities of exchange within the city itself.","Barbara Cole","1998",NA,NA
279,"Automata - Moving Pictures","Automata is based on the non-literary tool of flipping pages to make a moving picture.  A non-textual approach can be ""read"" by many different cultures and from a moving vehicle....This visual, tactile, and playful solution is accessible to all and can address the safety issues as well as community identity.","Site-integrated work","No longer in place","Queen Alexandra School (Kensington-Cedar Cottage)","Clark & Broadway  (Kensington-Cedar Cottage)","vinyl","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=279",NA,"City of Vancouver",NA,"Southeast corner and converging streets",NA,"Thirteen street light poles w/3 rotating banners each will line the streets around the intersection.  Four poles affixed to the retaining wall at the school corner celebrate the ""children's kingdom. "" Images of foot steps to guide children along safe paths and words of caution in several languages are sand-blasted into the sidewalk.","artists","1998",NA,NA
282,"Traffic Circles","Rocks are objects and obstructions.  They are 'super nature' and their scale and siting are what raises them beyond being just rocks....  The context around them may be what appears strange.","Site-integrated work","In place","Traffic Circles","Garden Dr. at Oxford, Cambridge and Eton Sts.",NA,"https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=282",NA,"City of Vancouver","Grandview-Woodland",NA,"Grandview-Woodland","Large boulders are installed as traffic circles in three intersections.  Reflectors are distributed on a 6'x6' grid throughout the intersection.","Barbara Cole","1997",-123.057708,49.286618
285,"The Totems",NA,"Totem pole","In place","Trade and Convention Centre","999 Canada Place Way","Cedar","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=285",NA,NA,"Downtown","Lobby of Trade and Convention Centre","Downtown","Current plaque text (12/2019):This pair of totems were carved by Art Sterritt, in the traditional Gitxsan style. The totem on the left features the crests of the Gispudwada (Killer Whale Clan) and depicts the killer whale, the octopus and the matriarch. The totem on the right contains crests of the Laxsgiik (Eagle Clan), including the beaver, the frog and the shark. Originally from Gitanmaax at Hazelton, BC, the totems were part of a collection commissioned by Sun Life of Canada, prior to their installation at the Museum of Vancouver and the Vancouver Convention Centre.","City of Vancouver","1972",-123.113251,49.288027
294,"Swedish Fountain",NA,"Fountain or water feature","In place","VanDusen Botanical Garden","5251 Oak Street","Bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=294",NA,"City of Vancouver","Shaughnessy","Entrance Court","Shaughnessy","This bronze fountain, donated by Vancouver's Swedish community, depicts the history and contributions of Swedish immigrants to British Columbia. The fountain, cast in Sweden, was unveiled at the official opening of VanDusen, August 30, 1975.",NA,"1975",-123.128435,49.238041
298,"Drinking Fountain",NA,"Fountain or water feature","In place","VanDusen Botanical Garden","5251 Oak Street","Nephrite (BC jade)","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=298",NA,"City of Vancouver","Shaughnessy","Near the Western North America Flora Section","Shaughnessy","David Backstrom is a former designer with the Vancouver Board of Parks & Recreation.","Heide Dobler","1977",-123.129643,49.239117
302,"Navigation Device: Origin Unknown","""The artist has combined wood, metal and glass in a sculpture that evokes a feeling of timelessness by its eroded forms and hauntingly beautiful bells and chimes.  It could have been washed ashore, like some mysterious archaeological fragment - perhaps a clue or cipher to decode the secrets of a forgotten civilization.""  (From pamphlet: Downtown Vancouver Architecture and Public Art published by Downtown Vancouver Association, c 1998)","Sculpture","In place","Cathedral Place","925 West Georgia","glass, steel, lights","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=302",NA,"private","Downtown","in lobby","Downtown","glass and found metal wall sculpture",NA,"1991",-123.120009,49.284181
309,"Photo Session","Johnson begins with a small clay model to fashion the gesture and pose of a figure. Once the pose is established, the artist works with a live model to sculpt the face and the exact position and a nude figure is cast in plaster. The clothes are then sewn onto the cast figure. Resin is applied to stiffen all the fabrics. The piece is then cast in wax, refined, and a ceramic mold is made in preparation for casting in bronze. Bronze details are added after.","Sculpture","In place","Queen Elizabeth Park","4600 Cambie","Bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=309",NA,"City of Vancouver","RileyPark","Bloedel Conservatory lookout overlooking Anniversary Quarry Garden, SE of dome","Riley Park","Bronze figurative sculpture of a casual photo session: man with a camera photographing three people.",NA,"1984",-123.112471,49.24213
312,"BC Nurses Memorial - ""When Humans Bleed""","Own this work as your own if you so choose; examine it, question it, deride it or admire it.  It will satisfy some aspect of your being.

I have left the original drill marks which extracted the stone from the ground.  These symbolize the core issues which we must all examine without which true healing does not occur.  

As issues resolve and wounds heal the capacity for integrated action is rejuvenated and we can go forth free from that which binds.","Sculpture","In place","Vancouver General Hospital","920 W 10th Avenue","Marble","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=312",NA,"Privately owned","Fairview","On sidewalk at South side of 10th Avenue","Fairview","&quot;When Humans Bleed&quot; Dedicated to The Pioneer Nurses of British Columbia 1900 - 1916. Placed in Memory of Margaret Kennedy/Campbell by her son Harry Campbell May 1999.","City of Vancouver","1999",-123.12475,49.26229
314,"Flame of Peace",NA,"Fountain or water feature","In place","Seaforth Park","(south end of Burrard Bridge)","Bronze, granite","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=314",NA,"City of Vancouver","Kitsilano",NA,"Kitsilano","A bronze cauldron contains the flame that is also the source of the water that surrounds the flame. The cauldron rests on a granite slab supported by a granite boulder. In the original plan, twelve other boulders surround the monument.",NA,"1986",-123.145862,49.272017
318,"The Pod",NA,"Sculpture","In place",NA,"510 Burrard Street","Bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=318",NA,"Privately owned","Downtown","Front plaza","Downtown","Commissioned as a tribute to killer orca whales, this bronze rendition of two whales riding waves is mounted on a granite base.",NA,"1989",-123.11777,49.28629
319,"Wilp","""The carved figures tell the story of Man, taken care of by the spirits, who wandered the empty earth. Lonely, he went to the forest aned asked the Spirit of the Forest, ""Why am I alone? Isn't there anyone in the forest to help me?"" The spirit said, ""I will give you Black Bear. If you can live in harmony with him, I will send you more of my children."" He did, and Man learned to live in peace with the forest people.

Paddling on the sea, Man asked the Spirit of the Sea, ""Why am I alone on the water?"" The spirit said, ""I will send you Blackfish; If you learn to live with him, I will send you more of my children."" He did, and Man learned to live in peace with the people of the sea.

Noticing the emptiness of the sky one day, Man said to the Spirit of the Sky, ""Send me one of your children, for I have twice shown tha ti can live with other than myself."" The Spirit of the Sky send him Raven, and Man again  proved he could live in harmony with the other creatures.

That humans can live together with the children of the forest, the water and the sky is evidneced by the many animals, fish and birds that still aboun in these habitaats. If wwwe can learn to live in peace with such diverse creatures, we can surely live in peace with each other."" (from Stewart, Totem Poles, 1990)","Totem pole","In place","Native Education Centre","285 East 5th Avenue",NA,"https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=319",NA,"Privately owned","Mount Pleasant","Entrance","Mount Pleasant","Unpainted portal pole carved in Nishga (Tsimshian) style. The pole's name, Wilp, means ""where the people gather."" Norman Tait's carving assistants were all family: brother, son, nephew, and cousin, and they are represented by the four faces around the entrance. Each man carved his own ""signature piece""; though similar, all are different. Tait's signature piece is the little bear cub.","pole being raised, June 25, 1985; photo by Hilary Stewart (in Totem Poles, 1990)","1985",-123.09901,49.266551
327,"Totem Pole (Langara College)","""Top figure: The Bear represents the cruel world or the bogey man; between its ears, a little man with an open mouth symbolizes the people who tell you to stay on the beaten path and forget your crazy dreams.

""Centre figure: Here we have another Bear, without ears, devouring a man with a flute in his hand.  This says, 'It doesn't matter how good you are, if no one hears, you are as good as dead.'  I do not believe this applies to specific talent such as art or music; the only real talent people have is to express what is really inside themselves. 

""Bottom figure: In early times a figure carved upside-down was a way of degrading a specific individual.  Here we have a man being degraded and eaten by a large man.  I call this figure 'man with ulcers', because both figures are the same person.  The large image secretly weeps as he eats himself up inside over dreams not pursued.""","Totem pole","In place","Langara College","100 West 49th Avenue","Cedar","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=327",NA,"Privately owned","Oakridge","Entrance to the college","Oakridge","Culture Style: Haida",NA,"1990",-123.107627,49.225138
331,"Mainly for the Birds","The Mainly for the Birds project celebrates the presence of the birds in the neighbourhood. Part of the project included studying the local birds, doing bird counts, and creating plantings and bird houses to increase the bird supportive habitat along the busy corridor from Broadway to 37th Avenue, including Main Street and four blocks on either side. About 20 trees and two planters were added  to the school ground, with more planned, in an effort to create a ""bird-friendly corridor.""","Mural","In place","Simon Fraser Elementary School","100 West 15th Avenue","Wood, paint","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=331",NA,"Vancouver School Board","Mount Pleasant","South and east faces of the school","Mount Pleasant","This project involved many ""bird-friendly"" education activities and resulted in a mural of painted wood panels with images of wild birds that inhabit the city in this area.","jil p. weaving","1999",-123.108382,49.257173
340,"Public Service/Private Step","""From the ground up the work is sited upon the oval of reclaimed 'Customs House'  black granite on the corner of Pender and Burrard. The granite shall be set in an east/west linear pattern, except for an inner oval directly under the artwork that will be cut and set in a specific pattern corresponding to the delineation of the elements of the piece.  The structure of the artwork is a series of 10""x10""x60' steel columns that are arranged in such a way as to delineate a scaled down relationship to the 5 elevator shafts in the core of the building. The 5 elevator cars are represented in their respective positions on the columns. An interface with the actual elevator system in the building will cause the artwork cars to glide up and down the columns in exact co-relation to the real cars, ie, if only elevator #2 is used, and it is taken to the 16th floor, the artwork will respond accordingly, while the remaining cars stay idle.  Next, in each car in the building, placed under the pumpkin coloured carpet, will be a multi-contact membrane switch that will pick up the various passengers' foot prints as they stand or walk in the car, and transmit them out to an LED matrix screen on the underside of each corresponding artwork car.  So, from a standing position on the plaza, an observer would be able to look up and see the movement and use of the inner workings of the building represented in a formal yet abstracted public realm."" A.Storey, December 2001","Site-integrated work","In place","Environment Canada and Oceans & Fisheries Building","401 Burrard Street","Steel, aluminum, electro mechanical interface with building elevators, LED screens.","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=340",NA,"Privately owned","Downtown","NE corner","Downtown","In this piece Storey reveals the inner workings of the building by mimicing the activity of the elevators. In a structure in front of the building, rectangular boxes travel up and down the poles and an LED screen reveals the footprints of the people inside the building as they travel up and down between floors.",NA,"2003",-123.11789,49.28684
342,"Leaf Stream","""The site of Bayshore was once part of an indigenous forest with towering conifers and Bigleaf Maples. The view north, towards the current site will be framed by Red Maples (Acer rubrum) planed on Georgia Street. … From the beginning, Douglas Senft has envisioned large-scale leaves 'floating' on the water. Water in the top pool, welling up over the surface of a leaf, flowing across it's surface, falling from one leaf surface to the next, each acting as the carrier for the water as it cascades down to the lower pool."" - project statement, 2001","Fountain or water feature","In place","Bayshore tower ""C""","1680 Bayshore Drive",NA,"https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=342",NA,"Privately owned","West End","On W Georgia Street, to the West of tower C.","Downtown","Large bronze maple leaves create a continuous path for a stream of water to flow from a circular pool above to a rectangular pool below. The leaves take on a turquoise patina from water flowing over them.",NA,"2002",-123.131959,49.291735
345,"Scopes of Site","The scopes refer to exploration devices that were used for the unsuccessful discovery of coal on the site in the mid 19th Century.  The pieces act as periscopes and telescopes through which the viewer can see a layered collage of actual, reflected and created views of the past and the present of the site.","Site-integrated work","In place","Cascina/Denia residential towers","500 Nicola Street","stainless steel, concrete, glass, fresnel lenses","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=345",NA,"Privately owned","Downtown","Corner plaza of Nicola and Hastings Street","Downtown","Six stainless steel and concrete shafts rise from the ground on a south facing grassy knoll that forms a public garden for a residential tower.piece is inspired by the capture of image and the play of time in film media.",NA,"2003",-123.1275,49.291273
354,"Roller","City Engineer Don Brynildsen and former City Streets Engineer Bob Ross worked with the artist to develop the context for situating the heritage road roller, once a familiar piece of equipment in the workyard.","Sculpture","In place","National Works Yard","701 National Avenue",NA,"https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=354",NA,"City of Vancouver","Strathcona","North East corner of Thornton St. and National Ave.","Strathcona","At the southwest corner of the yard, a heritage Buffalo Springfield road roller that sat at the entrance of the old works yard forms the centrepiece of this sculptural tableau that includes silhouettes of men working. The road roller was used in road construction in Vancouver in the 1930’s and 40’s. The piece enshrines some of the history and work of the city works yard in years past.","COV","2004",-123.092521,49.273678
368,"Oppenheimer Memorial Totem Pole",NA,"Totem pole","In place","Oppenheimer Park","Powell and Cordova, Dunlevy and Jackson",NA,"https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=368",NA,"City of Vancouver","DowntownEastside","Southeast side of the park","Strathcona","The totem was carved using traditional techniques taught by a master carver. The pole was created in memory of ""lives that otherwise may have gone unrecorded."" - The Art of Neighbourhoods,  Park Board Brochure",NA,"1997",-123.094119,49.28238
