"registryid","title_of_work","artistprojectstatement","type","status","sitename","siteaddress","primarymaterial","url","photourl","ownership","neighbourhood","locationonsite","geo_local_area","descriptionofwork","photocredits","yearofinstallation","lon","lat"
89,"Thunderbird House Post","In 1914 two posts were rented from Chief Tsa-wee-nok of Kingcome Inlet as part of the movie set for In the Land of the Head Hunters by Edward Curtis. The Art, Historical and Scientific Association of Vancouver bought them in 1927 for Stanley Park. When the first one decayed badly it was replaced by a fibreglas pole (situated near the miniature railway). The original was restored by James's granddaughter Ellen Neel in 1963 and is stored at the Vancouver Museum. In 1988 Tony Hunt carved a replica to replace the second one which is at Brockton Point.- from Hillary Stewart, Totem Poles, 1990, Douglas &amp; McIntyre","Totem pole","In place","Brockton Point","Stanley Park","cedar","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=89",NA,"City of Vancouver","Stanley Park","facing E., short totem on right",NA,"The house post is carved of red cedar with a Thunderbird at the top, a Killer Whale on the chest, and a Grizzly Bear holding a human being at the bottom. The current pole is a replica of a pair carved by Charles James in the early 1900s and owned by Chief Tsa-wee-nok of Kingcome Inlet.  The top bird figure originally had wings. (from Totem Poles, Hilary Stewart, 1990)","Maxime Cyr-Morton","1988",-123.120776,49.299188
92,"Sky Chief Pole",NA,"Totem pole","In place","Brockton Point","Stanley Park","Cedar","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=92",NA,"City of Vancouver","Stanley Park",NA,NA,"The pole represents the Nuu-chah-nulth people: from the top, Sky Chief, Moon, Kingfisher, Humpback Whale with Thunderbird on its back. Lightning Snake with the head of a wolf is on either side of the Whale, with Wolf below.  A man of knowledge is at the bottom.","Maxime Cyr-Morton","1989",-123.120898,49.299283
96,"Chehalis Cross",NA,"Memorial or monument","In place","Brockton Point","Stanley Park",NA,"https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=96",NA,"City of Vancouver","Stanley Park","Left of road past lighthouse",NA,"A heritage monument to the eight who died on the steam driven tug boat Chehalis in 1906.",NA,"1906",-123.118001,49.299862
98,"Empress of Japan","The Empress of Japan sailed between Vancouver and the Orient between 1891 and 1922.  The original figurehead was saved by the Vancouver Daily Province and presented to the Park Board in 1928.  In 1960 the badly deteriorated original was replaced with a fibreglass original .  The original is kept at the Vancouver Maritime Museum.","Memorial or monument","In place",NA,"Stanley Park","Fibreglass cast","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=98",NA,"City of Vancouver","Stanley Park","By pathway after Brockton Point",NA,"A heritage monument, this is a fibreglas reproduction of the original figurehead which was installed in 1923 and is now in the Maritime Museum.  It commemorates the Empress of Japan which sailed into Vancouver during 1891-1922.",NA,"1960",-123.117887,49.299969
99,"Lumberman's Arch",NA,"Memorial or monument","In place",NA,"Stanley Park","Cedar","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=99",NA,"City of Vancouver","Stanley Park","Left of road, past Brockton Point",NA,"The original arch was erected in 1912 by the BC Lumberman and Shinglemen&#39;s Society to honour the Duke of Connaught, son of Queen Victoria to mark his visit to Vancouver.

The Duke&#39;s procession passed through the arch in Vancouver&#39;s downtown core.  Following his visit, the arch was moved to this site.  Due to decay, the wooden arch was replaced in 1952 by the cedar archway in place today to honour BC&#39;s Lumber industry.",NA,"1952",-123.130411,49.30255
102,"Pauline Johnson Memorial","Pauline Johnson was well known in her time for her poetry based on Indigenous legends. She was born in 1861, the granddaughter of a Mohawk chief. She died of breast cancer in 1913. (Vancouver Sun, April 7, 2001, H5)","Memorial or monument","In place","Ferguson Point","Stanley Park","Stone","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=102",NA,"City of Vancouver","Stanley Park","NE of the Teahouse Restaurant",NA,"This memorial cairn includes a bronze plaque on natural rock. It marks the resting place of Johnson's ashes.  The poet had in fact specifically asked that no memorial be raised.  (from E.Godley, Public & Office Building Art in Greater Vancouver, The Greater Vancouver Book)",NA,"1922",-123.156609,49.301409
103,"David Oppenheimer","In the fall of 1909 a committee was formed to build a memorial to David Oppenheimer, former Mayor of Vancouver. Oppenheimer was an entrepreneur from Germany and served four 1-year terms as Mayor. He donated land for city parks and for the Rogers sugar refinery. The memorial committee planned to hire Augustus St. Gaudens to build a memorial gate to connect Stanley Park to the City in honour of Oppenheimer but they found out St. Gaudens was dead.  Charles Marega was new to Vancouver and had his first exhibition here with the Studio Club in October of 1909, showing small wax figures. Art critic Felix Penne (Francis Bursill) wrote in Vancouver World, ""These have the right feeling and directness of life and there is every indication the sculptor is capable of broader and more ambitious work - which I shall be glad to see.  Soon Vancouver will not have to propose dead sculptors to design memorials - there are and will be living and capable sculptors nearer home than on the other bank of the Styx.."" The original budget for the project was $50,000, but by the time Marega was commissioned in 1910, the project had become a bust for $4500, of which Marega was paid $3600 and the balance paid for an elaborate unveiling ceremony.  (BC Historical News 8:22-26, June 1975)","Memorial or monument","In place","Stanley Park","Beach Avenue entrance to Stanley Park","Bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=103",NA,"City of Vancouver","Stanley Park","Opposite the Parks Board Office",NA,"A Heritage Monument, this bronze bust commemmorates Vancouver's second mayor (1888-92).","Barbara Cole","1911",-123.146044,49.29047
105,"Wind Blown Mounds",NA,"Sculpture","In place","Granville Garden","1616 West 13th Avenue","Fiberglass","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=105",NA,"Privately owned","Fairview","Southwest corner of Fir St and W 13th Avenue","Fairview",NA,NA,"1975",-123.14139,49.25979
106,"Knife Edge Two Piece",NA,"Sculpture","In place","Queen Elizabeth Park","33rd & Cambie Street","Bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=106",NA,"City of Vancouver","RileyPark","Centre of square","Riley Park","The two large abstract forms are cast in bronze.",NA,"1969",-123.11367,49.24145
107,"Gates","The sculpture was produced as part of the City Shapes Sculpture Symposium in 1986 for Vancouver's centennial.","Sculpture","In place","Kensington Park","Knight & 33rd Avenue","Metal, black paint","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=107",NA,"City of Vancouver","Kensington-Cedar Cottage","S.W. corner of park","Kensington-Cedar Cottage","The piece is a silhouette of the mountain skyline with the city buildings superimposed on it.",NA,"1986",-123.076377,49.237432
109,"Statue of Discovolos (the Discus Thrower)",NA,"Sculpture","In place","Vanier Park","1100 Chestnut Street","Bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=109",NA,"City of Vancouver","Kitsilano","N.E. side of the Museum of Vancouver","Kitsilano","The Statue of Discovolos (the Discus Thrower) was donated to the City of Vancouver, in honor of Canada&#39;s centenary, by AHEPA Vancouver (Gladstone chapter) on behalf of the Hellenes, located at Vanier Park behind the Vancouver Planetarium and Centennial Museum.",NA,"1969",-123.143789,49.276484
113,"Clouds","Architect Bing Thom commissioned this work for the building. The work was funded by the Pacific Continental Investment Company.","Site-integrated work","In place",NA,"983 Howe Street",NA,"https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=113",NA,"university","Downtown","Balcony at top of building","Downtown","This sky-scraper's head is always in the clouds, in this instance, cut-out shapes by artist Alan Chung Hung.","Barbara Cole","1991",-123.12304,49.28044
149,"Untitled (totem)","The Kwaguilth totem pole that once stood at the front of the CBC/Radio-Canada building at 700 Hamilton Street has been returned to Fort Rupert in  the traditional territory of the Kwaguilth people. Under the direction of the artist, Richard Hunt, the pole was lowered on Monday, June 26, 2006. This initiative was part of the Building Redevelopment Project at CBC/Radio-Canada in Vancouver.The totem was originally commissioned by the Royal British Columbia Museum and CBC/Radio-Canada in 1982 and stood in front of the CBC/Radio-Canada Production Centre for almost 25 years.  “It is a great gift from CBC/Radio-Canada and wonderful to know that this totem pole will be returning to Fort Rupert,” says Richard Hunt.    - information from press release, June 19, 2006, CBC/Radio-Canada","Totem pole","No longer in place","CBC Building (Downtown)","700 Hamilton Street (Downtown)","Red cedar","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=149",NA,"Prov. of B.C.",NA,"In garden left of stairs at main entrance","Downtown","Internationally renowned artist Richard Hunt carved and erected the pole, with the assistance of Tim Paul. The top figure is a Kulus, or immature Thunderbird, the main crest of Richard Hunt. The middle figure is a bear holding a wild woman, and at the bottom is a sea monster. The log is western red cedar, approximately 27 feet long and a wing span of 10 feet, and is carved in traditional Kwaguilth style.",NA,"1982",-123.1142,49.279572
159,"The Dreamer (Christopher Columbus)",NA,"Sculpture","No longer in place",NA,NA,"Bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=159",NA,NA,"Hastings-Sunrise","Il Giardino","Hastings-Sunrise","A commemorative statue that represents Christopher Columbus as a boy, it was originally installed in a small square at Clark Street and 5th Avenue.

Donated by the Citizens of Genoa, Supported by the Region of Liguria. Erected by the Confrotellanza Italo-Canadese for the Italian community in memory of the Honourable Angelo E. Branca, Q.C. October 11, 1996.","Barbara Cole","1986",-123.042774,49.284136
