"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"mf74-ze5u","Applications Using Open Data","story","Here you will discover applications (mobile, web or both) that use our open datasets.","2018-12-13T16:42:11.158Z",36900,NA
"ukww-xkmj","311 Explorer","dataset","<p>311 service requests on public property. With this dataset you will be able to:</p><ul><li>view the various types of service requests on public property that have been generated in a neighborhood, ","2026-05-24T08:20:46.000Z",33951,"Indicators"
"k4tx-5k8p","Traffic Disruptions","dataset","This dataset provides information about what's happening on Edmonton's roads that could impact your drive, including: 
Major road closures and detours, Road construction, Travel delays and special eve","2026-05-24T17:32:35.000Z",32361,"Transportation"
"vh7t-9s3r","Map View: Snow and Ice Clearing Route Status","map","NB: The source map is only updated if a ""snow event"" is declared; if snowfall is relatively minor it may be cleared without the progress being reflected on the map.

This dataset provides a tabular re","2026-05-24T15:16:14.000Z",32107,"Transportation"
"66ut-y7w2","Development Permits - Map Search","map","ACCESSING DEVELOPMENT PERMIT INFORMATION
The City of Edmonton's Urban Planning and Economy Department offers a public dataset where you can search for development permits by type, status, location, an","2026-05-24T13:30:45.000Z",31512,"Urban Planning & Economy"
"w98g-d3nf","Historical: COVID-19 in Alberta: Rate of COVID-19 cases (per 100,000 population) in Alberta and by zone","dataset","Note: The date last updated is 2022-03-18, dataset is no longer provided.

COVID-19 data for Alberta: Rate of COVID-19 cases (per 100,000 population) in Alberta and by zone.

This is a mirror of the s","2023-09-14T21:57:31.000Z",31100,"Community Services"
"cnsu-iagr","Water Levels and Flows","dataset","A combining of data from 23 Water Level and Flow monitoring stations from water areas in Alberta that directly influence the Water Level and Flow of the North Saskatchewan River.

A combination of d","2026-05-24T13:19:29.000Z",30607,NA
"q7ua-agfg","311 Requests","dataset","Listing of all requests raised to 311, details of each call/transaction and update on the status.

This is anonymized data intended for reporting on trends; if you have a specific reference number for","2026-05-24T08:22:07.000Z",30082,"City Administration"
"eztv-j8sc","Mosquito Application by Motor Vehicle (2019)","dataset","This dataset represents the GPS coordinates of where a ground vehicle drove while it actively applying treatment for mosquitoes in 2019.","2023-04-24T23:47:29.000Z",28132,"Pesticide"
"eecg-fc54","Trees","dataset","Map of Boulevard and Open Space Trees owned and maintained by the City of Edmonton - not all City-owned trees are captured on this map. Note: The map may take some time to load.","2026-05-18T08:24:18.000Z",27985,"Environmental Services"
"7v3d-g5yy","24 Hour Rainfall Totals and Storm Severity Ratings - Map","map","Storm Rating legend ranges from 0 to 6, but will only show current ratings.
Rainfall amounts has 7 ranges, but will only show current ranges.","2025-10-24T06:48:36.000Z",26534,"Externally Sourced Datasets"
"ugr4-zpif","Total Snow (monthly)","chart","Environment Canada Data License Agreement:

http://climate.weather.gc.ca/prods_servs/attachment1_e.html

Environment Canada Terms and Conditions:

http://www.ec.gc.ca/default.asp?lang=En&xml=583","2026-05-24T15:14:20.000Z",26284,"Environmental Services"
"jkjx-2hix","2016 Census - Population by Household Income (Neighbourhood/Ward)","dataset","All Census information is as of April 1, 2016. No data on any individual residence will be released. To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbo","2019-07-17T17:08:34.000Z",25058,"Census"
"xwaa-ucvd","COVID-19 in Edmonton: Day by day","dataset","COVID-19 data for Edmonton:

    From https://www.alberta.ca/covid-19-alberta-data.aspx:
      - Previous day's Confirmed Cases, Active Cases, Recovered Cases, In Hospital, In Intensive Care, Deaths.
","2023-09-08T21:20:53.000Z",24341,"Community Services"
"v62b-dx6n","Sandboxes: Map View","map","A list of all City of Edmonton - Department of Transportation maintained sandboxes. These sandboxes are available for the general public to use during the winter period.","2026-05-24T15:16:18.000Z",24079,"Transportation"
"wx5p-e8cd","Animals Admitted to the Animal Care & Control Centre","dataset","Animals Admitted to the Animal Care & Control Centre","2025-02-14T23:43:22.000Z",23418,"Community Services"
"tzpx-p8qu","Public Washrooms Map","map","This dataset is a listing of publicly accessible washrooms complete with a description of the location, geo location and hours of operation/availability.","2026-02-09T16:40:30.000Z",23393,"Facilities and Structures"
"rqp6-b9gy","On-street Construction and Maintenance - Map View","map","Dataset summarizes active On-Street Construction and Maintenance (OSCAM) permits issued for the temporary use of road space for construction and special event activities. The dataset is current for th","2026-05-24T14:15:16.000Z",22043,"Transportation Infrastructure"
"2h73-35uw","Historical: COVID-19 in Alberta: Current Outbreak Locations","dataset","Note: Date last updated 2022-07-13, dataset is no longer provided.

From https://www.alberta.ca/covid-19-alberta-data.aspx; updated 2022-07-13 16:08 with data as of end of day 2022-07-11.

    Locatio","2023-09-14T21:56:04.000Z",21750,"Community Services"
"s4ws-tdws","Weather Data (Daily) - Environment Canada","dataset","Environment Canada Data Licence Agreement:

http://climate.weather.gc.ca/prods_servs/attachment1_e.html

Environment Canada Terms and Conditions:

http://www.ec.gc.ca/default.asp?lang=En&xml=5830C36B-","2026-05-24T15:14:20.000Z",21272,"Environmental Services"
"bqmh-j34s","Licensed Pets by Breed and Forward Sortation Area (FSA)","dataset","List of various Animal (Cats or Dogs) Breeds by Forward Sortation Area (First 3 characters of the Postal Code)","2019-07-17T16:45:35.000Z",20892,"Demographics"
"jwz2-cge4","Rainfall History - (2013 - 2015)","dataset","This dataset provides rainfall data during the 2013 to 2015 calendar years.

Rainfall is measured between May and October; snowfall is not measured.","2019-07-17T16:44:55.000Z",20814,"Externally Sourced Datasets"
"q8e4-6g4e","Weather Station Locations - Environment Canada","dataset","Environment Canada Data License Agreement:

http://climate.weather.gc.ca/prods_servs/attachment1_e.html

Environment Canada Terms and Conditions:

http://www.ec.gc.ca/default.asp?lang=En&xml=583","2026-05-24T15:14:51.000Z",20287,"Environmental Services"
"r9z6-7mh8","Media Releases","dataset","This data represents a central collection of Public Service Announcements (PSA), News Releases and Media Advisories for all to search and review.  Dataset will be refreshed at approximately 13:15 and ","2026-05-24T17:14:36.000Z",20163,"City Administration"
"8jwm-dd74","Design & Planning Projects","filter","A dataset of road projects in the design stages of the project.","2025-01-14T17:16:15.000Z",19406,"Transportation"
"9cds-dcbt","Current Projects","filter","A dataset of road projects in the design, current or completed stages of the project.","2025-01-14T17:16:19.000Z",19059,"Transportation"
"avfa-zstm","2012 Animals Admitted to the Animal Care & Control Centre","filter","Animals Admitted to the Animal Care & Control Centre","2025-02-14T23:43:22.000Z",17704,"Community Services"
"qzrg-q4nv","2009 Census - Population By Single Year Of Age And Gender (Neighbourhood)","dataset","All Census information is as of April 1, 2009.
Ages of residents are effective April 1, 2009.
No data on any individual residence will be released.  To protect the privacy of individuals, data is co","2019-07-17T16:45:20.000Z",16509,"Census"
"59sa-iw7i","Indigenous Place Names of Edmonton","dataset","The Naming Committee approves names for municipal facilities, new neighbourhoods, parks and roads. Matthew Dance, a local geographer and open data advocate, created this dataset in conjunction with th","2024-03-13T21:03:18.000Z",16491,"Facilities and Structures"
"b58q-nxjr","Average Annual Weekday Traffic Volumes (2011-2022)","dataset","Actual volumes and estimated volumes are displayed. Estimated volumes are derived from growth factors at permanent counting sites. The growth factors are applied to the most recent actual AAWDT volume","2023-10-10T20:28:53.000Z",16271,"Transportation"
"g57c-ph4j","Map View: Playgrounds","map","List of all playgrounds in Edmonton. Details include surface and accessibility attributes to provide information on where children of all ages and abilities can play. Play areas may consist of one or ","2026-05-18T08:26:53.000Z",16251,"Outdoor Recreation"
"gg6p-rhvt","2017 Edmonton General Election - Official Results","dataset","This dataset reflects the official election results for the 2017 Edmonton General Election.","2022-05-03T16:37:32.000Z",16179,"City Administration"
"wwb6-cid7","Drainage (Map View): Manholes","map","The location of manholes in the City of Edmonton. A manhole is a vertical structure connecting the ground level to an underground sewer.","2026-02-03T21:21:14.000Z",15919,"Externally Sourced Datasets"
"qdgm-hex6","Most Popular Books by Branch – Edmonton Public Library","dataset","A snapshot of the top ten books with the highest number of holds at Edmonton Public Library, each week from 9 AM Monday to 9 AM Monday, organized by customer home library branch. See Public Libraries ","2025-02-10T19:03:05.000Z",15826,"Community Centres"
"3fsu-hkrk","uPLVI Information Portal","story","Welcome to the uPLVI Information Portal","2024-03-26T16:01:19.281Z",15756,NA
