"_id","AREA_ID","AREA_ATTR_ID","PARENT_AREA_ID","AREA_SHORT_CODE","AREA_LONG_CODE","AREA_NAME","AREA_DESC","CLASSIFICATION","CLASSIFICATION_CODE","OBJECTID"
1,2502366,26022881,NA,174,174,"South Eglinton-Davisville","South Eglinton-Davisville (174)","Not an NIA or Emerging Neighbourhood",NA,17824737
2,2502365,26022880,NA,173,173,"North Toronto","North Toronto (173)","Not an NIA or Emerging Neighbourhood",NA,17824753
3,2502364,26022879,NA,172,172,"Dovercourt Village","Dovercourt Village (172)","Not an NIA or Emerging Neighbourhood",NA,17824769
4,2502363,26022878,NA,171,171,"Junction-Wallace Emerson","Junction-Wallace Emerson (171)","Not an NIA or Emerging Neighbourhood",NA,17824785
5,2502362,26022877,NA,170,170,"Yonge-Bay Corridor","Yonge-Bay Corridor (170)","Not an NIA or Emerging Neighbourhood",NA,17824801
6,2502361,26022876,NA,169,169,"Bay-Cloverhill","Bay-Cloverhill (169)","Not an NIA or Emerging Neighbourhood",NA,17824817
7,2502360,26022875,NA,156,156,"Bendale-Glen Andrew","Bendale-Glen Andrew (156)","Not an NIA or Emerging Neighbourhood",NA,17824833
8,2502359,26022874,NA,155,155,"Downsview","Downsview (155)","Neighbourhood Improvement Area","NIA",17824849
9,2502358,26022873,NA,154,154,"Oakdale-Beverley Heights","Oakdale-Beverley Heights (154)","Neighbourhood Improvement Area","NIA",17824865
10,2502357,26022872,NA,153,153,"Avondale","Avondale (153)","Not an NIA or Emerging Neighbourhood",NA,17824881
11,2502356,26022871,NA,152,152,"East Willowdale","East Willowdale (152)","Not an NIA or Emerging Neighbourhood",NA,17824897
12,2502355,26022870,NA,151,151,"Yonge-Doris","Yonge-Doris (151)","Not an NIA or Emerging Neighbourhood",NA,17824913
13,2502354,26022869,NA,150,150,"Fenside-Parkwoods","Fenside-Parkwoods (150)","Not an NIA or Emerging Neighbourhood",NA,17824929
14,2502353,26022868,NA,149,149,"Parkwoods-O'Connor Hills","Parkwoods-O'Connor Hills (149)","Not an NIA or Emerging Neighbourhood",NA,17824945
15,2502352,26022867,NA,148,148,"East L'Amoreaux","East L'Amoreaux (148)","Emerging Neighbourhood","EN",17824961
16,2502351,26022866,NA,147,147,"L'Amoreaux West","L'Amoreaux West (147)","Emerging Neighbourhood","EN",17824977
17,2502350,26022865,NA,146,146,"Malvern East","Malvern East (146)","Emerging Neighbourhood","EN",17824993
18,2502349,26022864,NA,145,145,"Malvern West","Malvern West (145)","Emerging Neighbourhood","EN",17825009
19,2502348,26022863,NA,144,144,"Morningside Heights","Morningside Heights (144)","Not an NIA or Emerging Neighbourhood",NA,17825025
20,2502347,26022862,NA,143,143,"West Rouge","West Rouge (143)","Not an NIA or Emerging Neighbourhood",NA,17825041
21,2502346,26022861,NA,142,142,"Woburn North","Woburn North (142)","Neighbourhood Improvement Area","NIA",17825057
22,2502345,26022860,NA,141,141,"Golfdale-Cedarbrae-Woburn","Golfdale-Cedarbrae-Woburn (141)","Neighbourhood Improvement Area","NIA",17825073
23,2502344,26022859,NA,140,140,"Guildwood","Guildwood (140)","Not an NIA or Emerging Neighbourhood",NA,17825089
24,2502343,26022858,NA,139,139,"Scarborough Village","Scarborough Village (139)","Neighbourhood Improvement Area","NIA",17825105
25,2502342,26022857,NA,138,138,"Eglinton East","Eglinton East (138)","Neighbourhood Improvement Area","NIA",17825121
26,2502341,26022856,NA,136,136,"West Hill","West Hill (136)","Neighbourhood Improvement Area","NIA",17825137
27,2502340,26022855,NA,135,135,"Morningside","Morningside (135)","Neighbourhood Improvement Area","NIA",17825153
28,2502339,26022854,NA,134,134,"Highland Creek","Highland Creek (134)","Not an NIA or Emerging Neighbourhood",NA,17825169
29,2502338,26022853,NA,133,133,"Centennial Scarborough","Centennial Scarborough (133)","Not an NIA or Emerging Neighbourhood",NA,17825185
30,2502337,26022852,NA,130,130,"Milliken","Milliken (130)","Not an NIA or Emerging Neighbourhood",NA,17825201
31,2502336,26022851,NA,129,129,"Agincourt North","Agincourt North (129)","Not an NIA or Emerging Neighbourhood",NA,17825217
32,2502335,26022850,NA,128,128,"Agincourt South-Malvern West","Agincourt South-Malvern West (128)","Not an NIA or Emerging Neighbourhood",NA,17825233
33,2502334,26022849,NA,126,126,"Dorset Park","Dorset Park (126)","Emerging Neighbourhood","EN",17825249
34,2502333,26022848,NA,125,125,"Ionview","Ionview (125)","Neighbourhood Improvement Area","NIA",17825265
35,2502332,26022847,NA,124,124,"Kennedy Park","Kennedy Park (124)","Neighbourhood Improvement Area","NIA",17825281
36,2502331,26022846,NA,123,123,"Cliffcrest","Cliffcrest (123)","Not an NIA or Emerging Neighbourhood",NA,17825297
37,2502330,26022845,NA,122,122,"Birchcliffe-Cliffside","Birchcliffe-Cliffside (122)","Not an NIA or Emerging Neighbourhood",NA,17825313
38,2502329,26022844,NA,168,168,"Downtown Yonge East","Downtown Yonge East (168)","Not an NIA or Emerging Neighbourhood",NA,17825329
39,2502328,26022843,NA,167,167,"Church-Wellesley","Church-Wellesley (167)","Not an NIA or Emerging Neighbourhood",NA,17825345
40,2502327,26022842,NA,166,166,"St Lawrence-East Bayfront-The Islands","St Lawrence-East Bayfront-The Islands (166)","Not an NIA or Emerging Neighbourhood",NA,17825361
41,2502326,26022841,NA,165,165,"Harbourfront-CityPlace","Harbourfront-CityPlace (165)","Not an NIA or Emerging Neighbourhood",NA,17825377
42,2502325,26022840,NA,164,164,"Wellington Place","Wellington Place (164)","Not an NIA or Emerging Neighbourhood",NA,17825393
43,2502324,26022839,NA,163,163,"Fort York-Liberty Village","Fort York-Liberty Village (163)","Not an NIA or Emerging Neighbourhood",NA,17825409
44,2502323,26022838,NA,162,162,"West Queen West","West Queen West (162)","Not an NIA or Emerging Neighbourhood",NA,17825425
45,2502322,26022837,NA,161,161,"Humber Bay Shores","Humber Bay Shores (161)","Not an NIA or Emerging Neighbourhood",NA,17825441
46,2502321,26022836,NA,160,160,"Mimico-Queensway","Mimico-Queensway (160)","Not an NIA or Emerging Neighbourhood",NA,17825457
47,2502320,26022835,NA,159,159,"Etobicoke City Centre","Etobicoke City Centre (159)","Not an NIA or Emerging Neighbourhood",NA,17825473
48,2502319,26022834,NA,158,158,"Islington","Islington (158)","Not an NIA or Emerging Neighbourhood",NA,17825489
49,2502318,26022833,NA,157,157,"Bendale South","Bendale South (157)","Not an NIA or Emerging Neighbourhood",NA,17825505
50,2502317,26022832,NA,109,109,"Caledonia-Fairbank","Caledonia-Fairbank (109)","Not an NIA or Emerging Neighbourhood",NA,17825521
51,2502316,26022831,NA,108,108,"Briar Hill-Belgravia","Briar Hill-Belgravia (108)","Not an NIA or Emerging Neighbourhood",NA,17825537
52,2502315,26022830,NA,107,107,"Oakwood Village","Oakwood Village (107)","Not an NIA or Emerging Neighbourhood",NA,17825553
53,2502314,26022829,NA,106,106,"Humewood-Cedarvale","Humewood-Cedarvale (106)","Not an NIA or Emerging Neighbourhood",NA,17825569
54,2502313,26022828,NA,105,105,"Lawrence Park North","Lawrence Park North (105)","Not an NIA or Emerging Neighbourhood",NA,17825585
55,2502312,26022827,NA,103,103,"Lawrence Park South","Lawrence Park South (103)","Not an NIA or Emerging Neighbourhood",NA,17825601
56,2502311,26022826,NA,102,102,"Forest Hill North","Forest Hill North (102)","Not an NIA or Emerging Neighbourhood",NA,17825617
57,2502310,26022825,NA,101,101,"Forest Hill South","Forest Hill South (101)","Not an NIA or Emerging Neighbourhood",NA,17825633
58,2502309,26022824,NA,100,100,"Yonge-Eglinton","Yonge-Eglinton (100)","Not an NIA or Emerging Neighbourhood",NA,17825649
59,2502308,26022823,NA,99,99,"Mount Pleasant East","Mount Pleasant East (99)","Not an NIA or Emerging Neighbourhood",NA,17825665
60,2502307,26022822,NA,98,98,"Rosedale-Moore Park","Rosedale-Moore Park (98)","Not an NIA or Emerging Neighbourhood",NA,17825681
61,2502306,26022821,NA,97,97,"Yonge-St.Clair","Yonge-St.Clair (97)","Not an NIA or Emerging Neighbourhood",NA,17825697
62,2502305,26022820,NA,96,96,"Casa Loma","Casa Loma (96)","Not an NIA or Emerging Neighbourhood",NA,17825713
63,2502304,26022819,NA,95,95,"Annex","Annex (95)","Not an NIA or Emerging Neighbourhood",NA,17825729
