"package_name","title","num_resources","metadata_modified","search_keyword"
"downsview-secondary-plan","Update Downsview",32,"2026-02-20T19:02:02.395846","parking"
"tennis-courts-facilities","Tennis Courts Facilities",11,"2026-05-21T04:08:43.656159","parking"
"green-spaces","Green Spaces",9,"2026-05-05T21:59:37.698087","parking"
"outdoor-artificial-ice-rinks","Outdoor Artificial Ice Rinks",18,"2026-02-20T21:06:33.382774","parking"
"wellbeing-toronto-recreation","Wellbeing Toronto - Recreation",1,"2024-04-03T12:43:41.819411","parking"
"off-leash-areas","Off Leash Areas",8,"2026-02-20T21:32:29.265388","parking"
"registered-programs-and-drop-in-courses-offering","Registered Programs and Drop In Courses Offering",16,"2026-05-21T21:39:21.283760","parking"
"bicycle-post-and-ring-locations","Bicycle Post and Ring Locations",3,"2025-07-24T19:54:31.197145","parking"
"recreational-drop-in-programs","Recreational Drop in Programs",4,"2023-03-01T14:46:05.803569","parking"
"recreational-courses-historical-data","Recreational Courses Historical Data",2,"2022-03-10T20:42:24.485544","parking"
"zoning-by-law","Zoning By-law",92,"2026-02-20T21:29:42.613615","parking"
"e-bike-survey-response-results","E-Bike Survey Response Results",1,"2023-04-28T13:10:45.535248","parking"
"indoor-ice-rinks","Indoor Ice Rinks",19,"2026-02-20T21:06:21.714288","parking"
"bike-share-toronto","Bike Share Toronto",4,"2025-03-27T16:51:48.752332","parking"
"traffic-calming-database","Traffic Calming Database",4,"2026-05-24T03:24:24.280589","parking"
"bike-share-toronto-ridership-data","Bike Share Toronto Ridership Data",13,"2026-05-19T11:27:46.786627","parking"
"library-branch-general-information","Library Branch General Information",11,"2026-05-13T14:19:00.322216","parking"
"places-of-interest-and-toronto-attractions","Places of Interest and Toronto Attractions",9,"2026-02-20T19:04:39.994577","parking"
"pollinateto-primary-project-garden-locations","PollinateTO Primary Project Garden Locations",8,"2026-02-20T19:02:27.514203","parking"
"sports-recreation-program-enrollment-drop-in-usage-and-permit-activity-summary","Sports & Recreation - Program Enrollment, Drop-In Usage and Permit Activity Summary",2,"2025-07-24T19:55:05.787952","parking"
"wellbeing-toronto-environment","Wellbeing Toronto - Environment",1,"2024-04-03T12:43:39.985989","parking"
"ravine-natural-feature-protection-area","Ravine & Natural Feature Protection area",1,"2022-11-08T14:22:31.165888","parking"
"2022-2024-cycling-program","Near-term Cycling Program",2,"2025-01-08T17:25:37.577715","parking"
"multi-use-trail-entrances","Multi-Use Trail Entrances",1,"2025-07-24T19:55:38.302333","parking"
"city-operated-electric-vehicle-charging-station-map","The City Operated Electric Vehicle Charging Station Map",8,"2026-02-20T21:34:25.448297","parking"
"traffic-counts-cycling","Traffic Counts - Cycling",4,"2022-03-10T22:01:36.103059","traffic collision"
"motor-vehicle-collisions-involving-killed-or-seriously-injured-persons","Motor Vehicle Collisions Involving Killed or Seriously Injured Persons",8,"2026-05-24T13:06:23.549697","traffic collision"
"traffic-signal-vehicle-and-pedestrian-volumes","Traffic Signal Vehicle and Pedestrian Volumes",2,"2023-09-27T14:05:17.963141","traffic collision"
"traffic-volumes-at-intersections-for-all-modes","Traffic Volumes - Multimodal Intersection Turning Movement Counts",28,"2026-05-23T22:44:29.295627","traffic collision"
"traffic-volumes-midblock-vehicle-speed-volume-and-classification-counts","Traffic Volumes - Midblock Vehicle Speed, Volume and Classification Counts",30,"2026-05-24T13:28:50.882409","traffic collision"
"wellbeing-toronto-transportation","Wellbeing Toronto - Transportation",1,"2024-04-03T12:43:43.103435","traffic collision"
"bicycle-and-micromobility-cordon-count","Bicycle and Micromobility Cordon Count",10,"2026-03-19T13:48:19.760512","traffic collision"
"by-election-results-unofficial","By-Elections – Unofficial Results",2,"2026-04-01T16:21:05.366364","by-law"
"basement-flooding-by-ward","Basement flooding by ward",1,"2025-03-24T18:45:54.039045","by-law"
"water-billing-by-ward","Water Billing by Ward",5,"2025-07-24T19:55:12.253721","by-law"
"polls-conducted-by-the-city","Polls conducted by the City",5,"2026-05-24T15:00:15.852619","by-law"
"elections-by-election-voter-statistics","Elections - By-Election Voter Statistics",15,"2025-10-28T14:53:44.888271","by-law"
"elections-official-by-election-results","Elections - Official By-Election Results",15,"2025-09-30T20:48:07.072992","by-law"
"library-circulation-by-cardholder-type","Library Circulation by Cardholder Type",4,"2026-03-16T19:01:36.231842","by-law"
"social-housing-unit-density-by-neighbourhoods","Social Housing Unit Density by Neighbourhoods",1,"2024-10-16T15:19:52.068747","by-law"
"budget-capital-budget-plan-by-ward-10-yr-approved","Budget - Capital Budget & Plan By Ward (10 yr Approved)",18,"2026-04-16T15:49:48.507514","by-law"
"budget-capital-budget-plan-by-ward-10-year-recommended","Budget - Capital Budget & Plan By Ward (10 Year Recommended)",3,"2025-02-19T20:18:51.265043","by-law"
"budget-operating-budget-program-summary-by-expenditure-category","Budget - Operating Budget Program Summary by Expenditure Category",18,"2026-04-20T15:48:42.740661","by-law"
