"package_name","title","num_resources","metadata_modified","license"
"recreational-courses-historical-data","Recreational Courses Historical Data",2,"2022-03-10T20:42:24.485544","open-government-licence-toronto"
"public-consultations-on-civic-governance-and-decision-making","Special Committee on Governance -- Public Consultations on Civic Governance and decision making",2,"2022-03-10T20:08:49.595505","open-government-licence-toronto"
"public-consultation-on-governance-and-decision-making-survey-1","Special Committee on Governance -- Public Consultation on Governance and Decision Making -- Survey #1",2,"2022-03-10T20:08:47.030894","open-government-licence-toronto"
"parking-lot-facilities","Parking Lot Facilities",2,"2022-03-10T19:27:06.743541","open-government-licence-toronto"
"open-government-staff-survey","Open Government Staff Survey",1,"2022-03-10T19:25:47.574412","open-government-licence-toronto"
"open-government-public-survey","Open Government Public Survey",2,"2022-03-10T19:25:46.172273","open-government-licence-toronto"
"king-st-transit-pilot-detailed-traffic-pedestrian-volumes","King St. Transit Pilot - Detailed Traffic & Pedestrian Volumes",3,"2022-03-10T18:46:47.132735","open-government-licence-toronto"
"king-st-transit-pilot-detailed-bluetooth-travel-time","King St. Transit Pilot - Detailed Bluetooth Travel Time",3,"2022-03-10T18:46:28.548645","open-government-licence-toronto"
"king-street-pilot-disaggregate-headway-and-travel-time","King Street Pilot - Disaggregate headway and travel time",3,"2022-03-10T18:45:27.040561","open-government-licence-toronto"
"humber-bay-parks-survey-results-data","Humber Bay Parks Survey Results Data",2,"2022-03-10T18:44:21.679213","open-government-licence-toronto"
